codi_indicador,any,codi_municipi,valor_final
15.2.1,2020,08001,"6,75"
15.2.1,2020,08002,"0,00"
15.2.1,2020,08003,"55,38"
15.2.1,2020,08004,"0,00"
15.2.1,2020,08005,"0,00"
15.2.1,2020,08006,"0,00"
15.2.1,2020,08007,"18,66"
15.2.1,2020,08008,"6,04"
15.2.1,2020,08009,"45,92"
15.2.1,2020,08010,"0,00"
15.2.1,2020,08011,"1,18"
15.2.1,2020,08012,"0,11"
15.2.1,2020,08013,"43,89"
15.2.1,2020,08014,"68,70"
15.2.1,2020,08015,"34,87"
15.2.1,2020,08016,"83,27"
15.2.1,2020,08017,"0,12"
15.2.1,2020,08018,"0,00"
15.2.1,2020,08019,"16,55"
15.2.1,2020,08020,"77,95"
15.2.1,2020,08021,"47,82"
15.2.1,2020,08022,"9,16"
15.2.1,2020,08023,"34,59"
15.2.1,2020,08024,"0,66"
15.2.1,2020,08025,"62,52"
15.2.1,2020,08026,"84,96"
15.2.1,2020,08027,"0,00"
15.2.1,2020,08028,"75,96"
15.2.1,2020,08029,"25,71"
15.2.1,2020,08030,"38,73"
15.2.1,2020,08031,"0,00"
15.2.1,2020,08032,"0,00"
15.2.1,2020,08033,"0,00"
15.2.1,2020,08034,"0,00"
15.2.1,2020,08035,"0,00"
15.2.1,2020,08036,"0,00"
15.2.1,2020,08037,"0,00"
15.2.1,2020,08038,"0,00"
15.2.1,2020,08039,"27,74"
15.2.1,2020,08040,"0,00"
15.2.1,2020,08041,"1,12"
15.2.1,2020,08042,"61,43"
15.2.1,2020,08043,"23,24"
15.2.1,2020,08044,"30,94"
15.2.1,2020,08045,"48,08"
15.2.1,2020,08046,"0,00"
15.2.1,2020,08047,"2,10"
15.2.1,2020,08048,"1,16"
15.2.1,2020,08049,"10,67"
15.2.1,2020,08050,"20,77"
15.2.1,2020,08051,"28,59"
15.2.1,2020,08052,"82,52"
15.2.1,2020,08053,"59,79"
15.2.1,2020,08054,"0,87"
15.2.1,2020,08055,"26,76"
15.2.1,2020,08056,"15,21"
15.2.1,2020,08057,"49,42"
15.2.1,2020,08058,"47,79"
15.2.1,2020,08059,"0,00"
15.2.1,2020,08060,"17,70"
15.2.1,2020,08061,"0,00"
15.2.1,2020,08062,"0,00"
15.2.1,2020,08063,"0,00"
15.2.1,2020,08064,"17,94"
15.2.1,2020,08065,"23,19"
15.2.1,2020,08066,"21,57"
15.2.1,2020,08067,"2,42"
15.2.1,2020,08068,"55,04"
15.2.1,2020,08069,"74,63"
15.2.1,2020,08070,"54,34"
15.2.1,2020,08071,"0,00"
15.2.1,2020,08072,"1,23"
15.2.1,2020,08073,"5,97"
15.2.1,2020,08074,"1,70"
15.2.1,2020,08075,"45,13"
15.2.1,2020,08076,"35,40"
15.2.1,2020,08077,"15,00"
15.2.1,2020,08078,"2,79"
15.2.1,2020,08079,"80,14"
15.2.1,2020,08080,"35,88"
15.2.1,2020,08081,"88,69"
15.2.1,2020,08082,"46,65"
15.2.1,2020,08083,"35,70"
15.2.1,2020,08084,"0,56"
15.2.1,2020,08085,"11,10"
15.2.1,2020,08086,"4,68"
15.2.1,2020,08087,"52,43"
15.2.1,2020,08088,"31,41"
15.2.1,2020,08089,"49,11"
15.2.1,2020,08090,"16,19"
15.2.1,2020,08091,"32,70"
15.2.1,2020,08092,"0,00"
15.2.1,2020,08093,"100,00"
15.2.1,2020,08094,"0,00"
15.2.1,2020,08095,"35,37"
15.2.1,2020,08096,"4,48"
15.2.1,2020,08097,"36,31"
15.2.1,2020,08098,"0,00"
15.2.1,2020,08099,"64,47"
15.2.1,2020,08100,"10,00"
15.2.1,2020,08101,"0,00"
15.2.1,2020,08102,"0,00"
15.2.1,2020,08103,"12,34"
15.2.1,2020,08104,"42,50"
15.2.1,2020,08105,"0,00"
15.2.1,2020,08106,"15,79"
15.2.1,2020,08107,"0,00"
15.2.1,2020,08108,"3,45"
15.2.1,2020,08109,"0,37"
15.2.1,2020,08110,"6,47"
15.2.1,2020,08111,"0,77"
15.2.1,2020,08112,"0,00"
15.2.1,2020,08113,"0,00"
15.2.1,2020,08114,"2,66"
15.2.1,2020,08115,"19,77"
15.2.1,2020,08116,"18,23"
15.2.1,2020,08117,"0,00"
15.2.1,2020,08118,"0,00"
15.2.1,2020,08119,"0,00"
15.2.1,2020,08120,"57,45"
15.2.1,2020,08121,"20,02"
15.2.1,2020,08122,"10,47"
15.2.1,2020,08123,"74,68"
15.2.1,2020,08124,"42,02"
15.2.1,2020,08125,"43,72"
15.2.1,2020,08126,"0,00"
15.2.1,2020,08127,"95,52"
15.2.1,2020,08128,"15,11"
15.2.1,2020,08129,"27,26"
15.2.1,2020,08130,"87,80"
15.2.1,2020,08131,"87,80"
15.2.1,2020,08132,"13,70"
15.2.1,2020,08133,"4,68"
15.2.1,2020,08134,"79,07"
15.2.1,2020,08135,"6,81"
15.2.1,2020,08136,"44,48"
15.2.1,2020,08137,"100,00"
15.2.1,2020,08138,"70,08"
15.2.1,2020,08139,"90,13"
15.2.1,2020,08140,"0,00"
15.2.1,2020,08141,"0,00"
15.2.1,2020,08142,"37,92"
15.2.1,2020,08143,"0,00"
15.2.1,2020,08144,"0,00"
15.2.1,2020,08145,"11,90"
15.2.1,2020,08146,"76,54"
15.2.1,2020,08147,"34,39"
15.2.1,2020,08148,"69,21"
15.2.1,2020,08149,"0,00"
15.2.1,2020,08150,"13,35"
15.2.1,2020,08151,"0,53"
15.2.1,2020,08152,"2,28"
15.2.1,2020,08153,"64,10"
15.2.1,2020,08154,"0,00"
15.2.1,2020,08155,"6,73"
15.2.1,2020,08156,"0,79"
15.2.1,2020,08157,"5,45"
15.2.1,2020,08158,"62,73"
15.2.1,2020,08159,"7,80"
15.2.1,2020,08160,"0,00"
15.2.1,2020,08161,"38,82"
15.2.1,2020,08162,"6,00"
15.2.1,2020,08163,"7,13"
15.2.1,2020,08164,"0,00"
15.2.1,2020,08165,"1,86"
15.2.1,2020,08166,"49,90"
15.2.1,2020,08167,"0,00"
15.2.1,2020,08168,"14,42"
15.2.1,2020,08169,"22,11"
15.2.1,2020,08170,"0,00"
15.2.1,2020,08171,"5,26"
15.2.1,2020,08172,"0,00"
15.2.1,2020,08174,"0,00"
15.2.1,2020,08175,"0,00"
15.2.1,2020,08176,"0,00"
15.2.1,2020,08177,"34,66"
15.2.1,2020,08178,"0,00"
15.2.1,2020,08179,"79,64"
15.2.1,2020,08180,"0,00"
15.2.1,2020,08181,"34,51"
15.2.1,2020,08182,"41,23"
15.2.1,2020,08183,"0,00"
15.2.1,2020,08184,"0,00"
15.2.1,2020,08185,"0,00"
15.2.1,2020,08187,"0,00"
15.2.1,2020,08188,"0,11"
15.2.1,2020,08189,"0,00"
15.2.1,2020,08190,"68,38"
15.2.1,2020,08191,"0,00"
15.2.1,2020,08192,"0,00"
15.2.1,2020,08193,"46,52"
15.2.1,2020,08194,"0,00"
15.2.1,2020,08195,"0,00"
15.2.1,2020,08196,"0,00"
15.2.1,2020,08197,"0,00"
15.2.1,2020,08198,"0,00"
15.2.1,2020,08199,"1,15"
15.2.1,2020,08200,"39,91"
15.2.1,2020,08201,"0,00"
15.2.1,2020,08202,"65,10"
15.2.1,2020,08203,"11,42"
15.2.1,2020,08204,"0,00"
15.2.1,2020,08205,"41,46"
15.2.1,2020,08206,"4,56"
15.2.1,2020,08207,"31,22"
15.2.1,2020,08208,"0,00"
15.2.1,2020,08209,"1,04"
15.2.1,2020,08210,"25,65"
15.2.1,2020,08211,"67,26"
15.2.1,2020,08212,"4,35"
15.2.1,2020,08213,"0,00"
15.2.1,2020,08214,"67,22"
15.2.1,2020,08215,"0,00"
15.2.1,2020,08216,"11,40"
15.2.1,2020,08217,"35,29"
15.2.1,2020,08218,"0,00"
15.2.1,2020,08219,"0,00"
15.2.1,2020,08220,"50,55"
15.2.1,2020,08221,"56,83"
15.2.1,2020,08222,"0,00"
15.2.1,2020,08223,"59,91"
15.2.1,2020,08224,"30,63"
15.2.1,2020,08225,"0,00"
15.2.1,2020,08226,"15,55"
15.2.1,2020,08227,"7,42"
15.2.1,2020,08228,"46,83"
15.2.1,2020,08229,"46,83"
15.2.1,2020,08230,"38,65"
15.2.1,2020,08231,"42,75"
15.2.1,2020,08232,"46,85"
15.2.1,2020,08233,"46,85"
15.2.1,2020,08234,"50,75"
15.2.1,2020,08235,"0,00"
15.2.1,2020,08236,"0,00"
15.2.1,2020,08237,"34,30"
15.2.1,2020,08238,"67,18"
15.2.1,2020,08239,"34,30"
15.2.1,2020,08240,"0,00"
15.2.1,2020,08241,"34,92"
15.2.1,2020,08242,"70,35"
15.2.1,2020,08243,"6,80"
15.2.1,2020,08244,"29,43"
15.2.1,2020,08245,"28,32"
15.2.1,2020,08246,"0,00"
15.2.1,2020,08247,"0,00"
15.2.1,2020,08248,"0,00"
15.2.1,2020,08249,"0,00"
15.2.1,2020,08250,"21,70"
15.2.1,2020,08251,"48,73"
15.2.1,2020,08252,"0,00"
15.2.1,2020,08253,"57,70"
15.2.1,2020,08254,"11,12"
15.2.1,2020,08255,"41,03"
15.2.1,2020,08256,"69,09"
15.2.1,2020,08257,"46,45"
15.2.1,2020,08258,"21,39"
15.2.1,2020,08259,"0,00"
15.2.1,2020,08260,"7,74"
15.2.1,2020,08261,"0,00"
15.2.1,2020,08262,"51,76"
15.2.1,2020,08263,"18,40"
15.2.1,2020,08264,"0,00"
15.2.1,2020,08265,"7,85"
15.2.1,2020,08266,"46,79"
15.2.1,2020,08267,"0,00"
15.2.1,2020,08268,"21,22"
15.2.1,2020,08269,"20,86"
15.2.1,2020,08270,"70,84"
15.2.1,2020,08271,"13,76"
15.2.1,2020,08272,"1,95"
15.2.1,2020,08273,"30,15"
15.2.1,2020,08274,"6,98"
15.2.1,2020,08275,"70,84"
15.2.1,2020,08276,"89,84"
15.2.1,2020,08277,"20,24"
15.2.1,2020,08278,"0,17"
15.2.1,2020,08279,"11,05"
15.2.1,2020,08280,"36,24"
15.2.1,2020,08281,"40,99"
15.2.1,2020,08282,"65,81"
15.2.1,2020,08283,"8,37"
15.2.1,2020,08284,"43,40"
15.2.1,2020,08285,"0,00"
15.2.1,2020,08286,"1,77"
15.2.1,2020,08287,"0,00"
15.2.1,2020,08288,"39,98"
15.2.1,2020,08289,"26,35"
15.2.1,2020,08290,"0,00"
15.2.1,2020,08291,"57,66"
15.2.1,2020,08292,"65,70"
15.2.1,2020,08293,"21,46"
15.2.1,2020,08294,"45,58"
15.2.1,2020,08295,"30,90"
15.2.1,2020,08296,"57,21"
15.2.1,2020,08297,"0,00"
15.2.1,2020,08298,"0,00"
15.2.1,2020,08299,"34,68"
15.2.1,2020,08300,"18,55"
15.2.1,2020,08301,"45,91"
15.2.1,2020,08302,"0,00"
15.2.1,2020,08303,"99,56"
15.2.1,2020,08304,"0,00"
15.2.1,2020,08305,"0,00"
15.2.1,2020,08306,"59,39"
15.2.1,2020,08307,"17,71"
15.2.1,2020,08308,"4,34"
15.2.1,2020,08901,"58,81"
15.2.1,2020,08902,"27,80"
15.2.1,2020,08903,"50,62"
15.2.1,2020,08904,"0,00"
15.2.1,2020,08905,"0,00"
15.2.1,2021,08001,"6,75"
15.2.1,2021,08002,"0,00"
15.2.1,2021,08003,"55,38"
15.2.1,2021,08004,"0,00"
15.2.1,2021,08005,"0,00"
15.2.1,2021,08006,"0,00"
15.2.1,2021,08007,"18,66"
15.2.1,2021,08008,"6,04"
15.2.1,2021,08009,"45,92"
15.2.1,2021,08010,"0,00"
15.2.1,2021,08011,"1,18"
15.2.1,2021,08012,"0,11"
15.2.1,2021,08013,"43,89"
15.2.1,2021,08014,"68,70"
15.2.1,2021,08015,"34,87"
15.2.1,2021,08016,"83,27"
15.2.1,2021,08017,"0,12"
15.2.1,2021,08018,"0,00"
15.2.1,2021,08019,"16,55"
15.2.1,2021,08020,"77,95"
15.2.1,2021,08021,"47,82"
15.2.1,2021,08022,"9,16"
15.2.1,2021,08023,"34,59"
15.2.1,2021,08024,"0,66"
15.2.1,2021,08025,"62,52"
15.2.1,2021,08026,"84,96"
15.2.1,2021,08027,"0,00"
15.2.1,2021,08028,"75,96"
15.2.1,2021,08029,"25,71"
15.2.1,2021,08030,"38,73"
15.2.1,2021,08031,"0,00"
15.2.1,2021,08032,"0,00"
15.2.1,2021,08033,"0,00"
15.2.1,2021,08034,"0,00"
15.2.1,2021,08035,"0,00"
15.2.1,2021,08036,"0,00"
15.2.1,2021,08037,"0,00"
15.2.1,2021,08038,"0,00"
15.2.1,2021,08039,"27,74"
15.2.1,2021,08040,"0,00"
15.2.1,2021,08041,"1,12"
15.2.1,2021,08042,"61,43"
15.2.1,2021,08043,"23,24"
15.2.1,2021,08044,"30,94"
15.2.1,2021,08045,"48,08"
15.2.1,2021,08046,"0,00"
15.2.1,2021,08047,"2,10"
15.2.1,2021,08048,"1,16"
15.2.1,2021,08049,"10,67"
15.2.1,2021,08050,"20,77"
15.2.1,2021,08051,"28,59"
15.2.1,2021,08052,"82,52"
15.2.1,2021,08053,"59,79"
15.2.1,2021,08054,"0,87"
15.2.1,2021,08055,"26,76"
15.2.1,2021,08056,"15,21"
15.2.1,2021,08057,"49,42"
15.2.1,2021,08058,"47,79"
15.2.1,2021,08059,"0,00"
15.2.1,2021,08060,"17,70"
15.2.1,2021,08061,"0,00"
15.2.1,2021,08062,"0,00"
15.2.1,2021,08063,"0,00"
15.2.1,2021,08064,"17,94"
15.2.1,2021,08065,"23,19"
15.2.1,2021,08066,"21,57"
15.2.1,2021,08067,"2,42"
15.2.1,2021,08068,"55,04"
15.2.1,2021,08069,"74,63"
15.2.1,2021,08070,"54,34"
15.2.1,2021,08071,"0,00"
15.2.1,2021,08072,"1,23"
15.2.1,2021,08073,"5,97"
15.2.1,2021,08074,"1,70"
15.2.1,2021,08075,"45,13"
15.2.1,2021,08076,"35,40"
15.2.1,2021,08077,"15,00"
15.2.1,2021,08078,"2,79"
15.2.1,2021,08079,"80,14"
15.2.1,2021,08080,"35,88"
15.2.1,2021,08081,"88,69"
15.2.1,2021,08082,"46,65"
15.2.1,2021,08083,"35,70"
15.2.1,2021,08084,"0,56"
15.2.1,2021,08085,"11,10"
15.2.1,2021,08086,"4,68"
15.2.1,2021,08087,"52,43"
15.2.1,2021,08088,"31,41"
15.2.1,2021,08089,"49,11"
15.2.1,2021,08090,"16,19"
15.2.1,2021,08091,"32,70"
15.2.1,2021,08092,"0,00"
15.2.1,2021,08093,"100,00"
15.2.1,2021,08094,"0,00"
15.2.1,2021,08095,"35,37"
15.2.1,2021,08096,"4,48"
15.2.1,2021,08097,"36,31"
15.2.1,2021,08098,"0,00"
15.2.1,2021,08099,"64,47"
15.2.1,2021,08100,"10,00"
15.2.1,2021,08101,"0,00"
15.2.1,2021,08102,"0,00"
15.2.1,2021,08103,"12,34"
15.2.1,2021,08104,"42,50"
15.2.1,2021,08105,"0,00"
15.2.1,2021,08106,"15,79"
15.2.1,2021,08107,"0,00"
15.2.1,2021,08108,"3,45"
15.2.1,2021,08109,"0,37"
15.2.1,2021,08110,"6,47"
15.2.1,2021,08111,"0,77"
15.2.1,2021,08112,"0,00"
15.2.1,2021,08113,"0,00"
15.2.1,2021,08114,"2,66"
15.2.1,2021,08115,"19,77"
15.2.1,2021,08116,"18,23"
15.2.1,2021,08117,"0,00"
15.2.1,2021,08118,"0,00"
15.2.1,2021,08119,"0,00"
15.2.1,2021,08120,"57,45"
15.2.1,2021,08121,"20,02"
15.2.1,2021,08122,"10,47"
15.2.1,2021,08123,"74,68"
15.2.1,2021,08124,"42,02"
15.2.1,2021,08125,"43,72"
15.2.1,2021,08126,"0,00"
15.2.1,2021,08127,"95,52"
15.2.1,2021,08128,"15,11"
15.2.1,2021,08129,"27,26"
15.2.1,2021,08130,"87,80"
15.2.1,2021,08131,"87,80"
15.2.1,2021,08132,"13,70"
15.2.1,2021,08133,"4,68"
15.2.1,2021,08134,"79,07"
15.2.1,2021,08135,"6,81"
15.2.1,2021,08136,"44,48"
15.2.1,2021,08137,"100,00"
15.2.1,2021,08138,"70,08"
15.2.1,2021,08139,"90,13"
15.2.1,2021,08140,"0,00"
15.2.1,2021,08141,"0,00"
15.2.1,2021,08142,"37,92"
15.2.1,2021,08143,"0,00"
15.2.1,2021,08144,"0,00"
15.2.1,2021,08145,"11,90"
15.2.1,2021,08146,"76,54"
15.2.1,2021,08147,"34,39"
15.2.1,2021,08148,"69,21"
15.2.1,2021,08149,"0,00"
15.2.1,2021,08150,"13,35"
15.2.1,2021,08151,"0,53"
15.2.1,2021,08152,"2,28"
15.2.1,2021,08153,"64,10"
15.2.1,2021,08154,"0,00"
15.2.1,2021,08155,"6,73"
15.2.1,2021,08156,"0,79"
15.2.1,2021,08157,"5,45"
15.2.1,2021,08158,"62,73"
15.2.1,2021,08159,"7,80"
15.2.1,2021,08160,"0,00"
15.2.1,2021,08161,"38,82"
15.2.1,2021,08162,"6,00"
15.2.1,2021,08163,"7,13"
15.2.1,2021,08164,"0,00"
15.2.1,2021,08165,"1,86"
15.2.1,2021,08166,"49,90"
15.2.1,2021,08167,"0,00"
15.2.1,2021,08168,"14,42"
15.2.1,2021,08169,"22,11"
15.2.1,2021,08170,"0,00"
15.2.1,2021,08171,"5,26"
15.2.1,2021,08172,"0,00"
15.2.1,2021,08174,"0,00"
15.2.1,2021,08175,"0,00"
15.2.1,2021,08176,"0,00"
15.2.1,2021,08177,"34,66"
15.2.1,2021,08178,"0,00"
15.2.1,2021,08179,"79,64"
15.2.1,2021,08180,"0,00"
15.2.1,2021,08181,"34,51"
15.2.1,2021,08182,"41,23"
15.2.1,2021,08183,"0,00"
15.2.1,2021,08184,"0,00"
15.2.1,2021,08185,"0,00"
15.2.1,2021,08187,"0,00"
15.2.1,2021,08188,"0,11"
15.2.1,2021,08189,"0,00"
15.2.1,2021,08190,"68,38"
15.2.1,2021,08191,"0,00"
15.2.1,2021,08192,"0,00"
15.2.1,2021,08193,"46,52"
15.2.1,2021,08194,"0,00"
15.2.1,2021,08195,"0,00"
15.2.1,2021,08196,"0,00"
15.2.1,2021,08197,"0,00"
15.2.1,2021,08198,"0,00"
15.2.1,2021,08199,"1,15"
15.2.1,2021,08200,"39,91"
15.2.1,2021,08201,"0,00"
15.2.1,2021,08202,"65,10"
15.2.1,2021,08203,"11,42"
15.2.1,2021,08204,"0,00"
15.2.1,2021,08205,"41,46"
15.2.1,2021,08206,"4,56"
15.2.1,2021,08207,"31,22"
15.2.1,2021,08208,"0,00"
15.2.1,2021,08209,"1,04"
15.2.1,2021,08210,"25,65"
15.2.1,2021,08211,"67,26"
15.2.1,2021,08212,"4,35"
15.2.1,2021,08213,"0,00"
15.2.1,2021,08214,"67,22"
15.2.1,2021,08215,"0,00"
15.2.1,2021,08216,"11,40"
15.2.1,2021,08217,"35,29"
15.2.1,2021,08218,"0,00"
15.2.1,2021,08219,"0,00"
15.2.1,2021,08220,"50,55"
15.2.1,2021,08221,"56,83"
15.2.1,2021,08222,"0,00"
15.2.1,2021,08223,"59,91"
15.2.1,2021,08224,"30,63"
15.2.1,2021,08225,"0,00"
15.2.1,2021,08226,"15,55"
15.2.1,2021,08227,"7,42"
15.2.1,2021,08228,"46,83"
15.2.1,2021,08229,"46,83"
15.2.1,2021,08230,"38,65"
15.2.1,2021,08231,"42,75"
15.2.1,2021,08232,"46,85"
15.2.1,2021,08233,"46,85"
15.2.1,2021,08234,"50,75"
15.2.1,2021,08235,"0,00"
15.2.1,2021,08236,"0,00"
15.2.1,2021,08237,"34,30"
15.2.1,2021,08238,"67,18"
15.2.1,2021,08239,"34,30"
15.2.1,2021,08240,"0,00"
15.2.1,2021,08241,"34,92"
15.2.1,2021,08242,"70,35"
15.2.1,2021,08243,"6,80"
15.2.1,2021,08244,"29,43"
15.2.1,2021,08245,"28,32"
15.2.1,2021,08246,"0,00"
15.2.1,2021,08247,"0,00"
15.2.1,2021,08248,"0,00"
15.2.1,2021,08249,"0,00"
15.2.1,2021,08250,"21,70"
15.2.1,2021,08251,"48,73"
15.2.1,2021,08252,"0,00"
15.2.1,2021,08253,"57,70"
15.2.1,2021,08254,"11,12"
15.2.1,2021,08255,"41,03"
15.2.1,2021,08256,"69,09"
15.2.1,2021,08257,"46,45"
15.2.1,2021,08258,"21,39"
15.2.1,2021,08259,"0,00"
15.2.1,2021,08260,"7,74"
15.2.1,2021,08261,"0,00"
15.2.1,2021,08262,"51,76"
15.2.1,2021,08263,"18,40"
15.2.1,2021,08264,"0,00"
15.2.1,2021,08265,"7,85"
15.2.1,2021,08266,"46,79"
15.2.1,2021,08267,"0,00"
15.2.1,2021,08268,"21,22"
15.2.1,2021,08269,"20,86"
15.2.1,2021,08270,"70,84"
15.2.1,2021,08271,"13,76"
15.2.1,2021,08272,"1,95"
15.2.1,2021,08273,"30,15"
15.2.1,2021,08274,"6,98"
15.2.1,2021,08275,"70,84"
15.2.1,2021,08276,"89,84"
15.2.1,2021,08277,"20,24"
15.2.1,2021,08278,"0,17"
15.2.1,2021,08279,"11,05"
15.2.1,2021,08280,"36,24"
15.2.1,2021,08281,"40,99"
15.2.1,2021,08282,"65,81"
15.2.1,2021,08283,"8,37"
15.2.1,2021,08284,"43,40"
15.2.1,2021,08285,"0,00"
15.2.1,2021,08286,"1,77"
15.2.1,2021,08287,"0,00"
15.2.1,2021,08288,"39,98"
15.2.1,2021,08289,"26,35"
15.2.1,2021,08290,"0,00"
15.2.1,2021,08291,"57,66"
15.2.1,2021,08292,"65,70"
15.2.1,2021,08293,"21,46"
