codi_indicador,any,codi_municipi,valor_final,valor_numerador,valor_denominador
13.1.1,2018,08001,Mitja,,
13.1.1,2018,08002,Mitja,,
13.1.1,2018,08003,Mitja,,
13.1.1,2018,08004,Mitja,,
13.1.1,2018,08005,Mitja,,
13.1.1,2018,08006,Mitja,,
13.1.1,2018,08007,Mitja,,
13.1.1,2018,08008,Mitja,,
13.1.1,2018,08009,Baixa,,
13.1.1,2018,08010,Mitja,,
13.1.1,2018,08011,Mitja,,
13.1.1,2018,08012,Mitja,,
13.1.1,2018,08013,Mitja,,
13.1.1,2018,08014,Mitja,,
13.1.1,2018,08015,Mitja,,
13.1.1,2018,08016,Mitja,,
13.1.1,2018,08017,Mitja,,
13.1.1,2018,08018,Mitja,,
13.1.1,2018,08019,Alta,,
13.1.1,2018,08020,Mitja,,
13.1.1,2018,08021,Mitja,,
13.1.1,2018,08022,Mitja,,
13.1.1,2018,08023,Mitja,,
13.1.1,2018,08024,Mitja,,
13.1.1,2018,08025,Mitja,,
13.1.1,2018,08026,Mitja,,
13.1.1,2018,08027,Mitja,,
13.1.1,2018,08028,Mitja,,
13.1.1,2018,08029,Mitja,,
13.1.1,2018,08030,Mitja,,
13.1.1,2018,08031,Mitja,,
13.1.1,2018,08032,Mitja,,
13.1.1,2018,08033,Mitja,,
13.1.1,2018,08034,Mitja,,
13.1.1,2018,08035,Mitja,,
13.1.1,2018,08036,Mitja,,
13.1.1,2018,08037,Mitja,,
13.1.1,2018,08038,Mitja,,
13.1.1,2018,08039,Mitja,,
13.1.1,2018,08040,Alta,,
13.1.1,2018,08041,Mitja,,
13.1.1,2018,08042,Baixa,,
13.1.1,2018,08043,Mitja,,
13.1.1,2018,08044,Mitja,,
13.1.1,2018,08045,Mitja,,
13.1.1,2018,08046,Mitja,,
13.1.1,2018,08047,Mitja,,
13.1.1,2018,08048,Mitja,,
13.1.1,2018,08049,Mitja,,
13.1.1,2018,08050,Mitja,,
13.1.1,2018,08051,Mitja,,
13.1.1,2018,08052,Mitja,,
13.1.1,2018,08053,Mitja,,
13.1.1,2018,08054,Mitja,,
13.1.1,2018,08055,Baixa,,
13.1.1,2018,08056,Alta,,
13.1.1,2018,08057,Mitja,,
13.1.1,2018,08058,Mitja,,
13.1.1,2018,08059,Mitja,,
13.1.1,2018,08060,Mitja,,
13.1.1,2018,08061,Mitja,,
13.1.1,2018,08062,Mitja,,
13.1.1,2018,08063,Mitja,,
13.1.1,2018,08064,Mitja,,
13.1.1,2018,08065,Mitja,,
13.1.1,2018,08066,Mitja,,
13.1.1,2018,08067,Mitja,,
13.1.1,2018,08068,Mitja,,
13.1.1,2018,08069,Baixa,,
13.1.1,2018,08070,Mitja,,
13.1.1,2018,08071,Mitja,,
13.1.1,2018,08072,Mitja,,
13.1.1,2018,08073,Molt Alta,,
13.1.1,2018,08074,Alta,,
13.1.1,2018,08075,Mitja,,
13.1.1,2018,08076,Mitja,,
13.1.1,2018,08077,Molt Alta,,
13.1.1,2018,08078,Mitja,,
13.1.1,2018,08079,Mitja,,
13.1.1,2018,08080,Mitja,,
13.1.1,2018,08081,Baixa,,
13.1.1,2018,08082,Mitja,,
13.1.1,2018,08083,Mitja,,
13.1.1,2018,08084,Mitja,,
13.1.1,2018,08085,Mitja,,
13.1.1,2018,08086,Mitja,,
13.1.1,2018,08087,Mitja,,
13.1.1,2018,08088,Mitja,,
13.1.1,2018,08089,Mitja,,
13.1.1,2018,08090,Mitja,,
13.1.1,2018,08091,Mitja,,
13.1.1,2018,08092,Mitja,,
13.1.1,2018,08093,Mitja,,
13.1.1,2018,08094,Mitja,,
13.1.1,2018,08095,Mitja,,
13.1.1,2018,08096,Alta,,
13.1.1,2018,08097,Mitja,,
13.1.1,2018,08098,Mitja,,
13.1.1,2018,08099,Mitja,,
13.1.1,2018,08100,Mitja,,
13.1.1,2018,08101,Molt Alta,,
13.1.1,2018,08102,Mitja,,
13.1.1,2018,08103,Mitja,,
13.1.1,2018,08104,Mitja,,
13.1.1,2018,08105,Alta,,
13.1.1,2018,08106,Mitja,,
13.1.1,2018,08107,Mitja,,
13.1.1,2018,08108,Mitja,,
13.1.1,2018,08109,Mitja,,
13.1.1,2018,08110,Mitja,,
13.1.1,2018,08111,Mitja,,
13.1.1,2018,08112,Alta,,
13.1.1,2018,08113,Mitja,,
13.1.1,2018,08114,Alta,,
13.1.1,2018,08115,Mitja,,
13.1.1,2018,08116,Mitja,,
13.1.1,2018,08117,Mitja,,
13.1.1,2018,08118,Molt Alta,,
13.1.1,2018,08119,Mitja,,
13.1.1,2018,08120,Mitja,,
13.1.1,2018,08121,Mitja,,
13.1.1,2018,08122,Mitja,,
13.1.1,2018,08123,Mitja,,
13.1.1,2018,08124,Alta,,
13.1.1,2018,08125,Mitja,,
13.1.1,2018,08126,Mitja,,
13.1.1,2018,08127,Mitja,,
13.1.1,2018,08128,Mitja,,
13.1.1,2018,08129,Mitja,,
13.1.1,2018,08130,Mitja,,
13.1.1,2018,08131,Mitja,,
13.1.1,2018,08132,Mitja,,
13.1.1,2018,08133,Mitja,,
13.1.1,2018,08134,Mitja,,
13.1.1,2018,08135,Alta,,
13.1.1,2018,08136,Mitja,,
13.1.1,2018,08137,Mitja,,
13.1.1,2018,08138,Mitja,,
13.1.1,2018,08139,Mitja,,
13.1.1,2018,08140,Mitja,,
13.1.1,2018,08141,Mitja,,
13.1.1,2018,08142,Mitja,,
13.1.1,2018,08143,Mitja,,
13.1.1,2018,08144,Mitja,,
13.1.1,2018,08145,Mitja,,
13.1.1,2018,08146,Mitja,,
13.1.1,2018,08147,Mitja,,
13.1.1,2018,08148,Mitja,,
13.1.1,2018,08149,Mitja,,
13.1.1,2018,08150,Mitja,,
13.1.1,2018,08151,Mitja,,
13.1.1,2018,08152,Mitja,,
13.1.1,2018,08153,Mitja,,
13.1.1,2018,08154,Mitja,,
13.1.1,2018,08155,Mitja,,
13.1.1,2018,08156,Mitja,,
13.1.1,2018,08157,Mitja,,
13.1.1,2018,08158,Mitja,,
13.1.1,2018,08159,Mitja,,
13.1.1,2018,08160,Mitja,,
13.1.1,2018,08161,Mitja,,
13.1.1,2018,08162,Mitja,,
13.1.1,2018,08163,Alta,,
13.1.1,2018,08164,Mitja,,
13.1.1,2018,08165,Mitja,,
13.1.1,2018,08166,Mitja,,
13.1.1,2018,08167,Mitja,,
13.1.1,2018,08168,Mitja,,
13.1.1,2018,08169,Mitja,,
13.1.1,2018,08170,Alta,,
13.1.1,2018,08171,Mitja,,
13.1.1,2018,08172,Alta,,
13.1.1,2018,08174,Mitja,,
13.1.1,2018,08175,Mitja,,
13.1.1,2018,08176,Mitja,,
13.1.1,2018,08177,Mitja,,
13.1.1,2018,08178,Mitja,,
13.1.1,2018,08179,Mitja,,
13.1.1,2018,08180,Molt Alta,,
13.1.1,2018,08181,Mitja,,
13.1.1,2018,08182,Mitja,,
13.1.1,2018,08183,Mitja,,
13.1.1,2018,08184,Mitja,,
13.1.1,2018,08185,Mitja,,
13.1.1,2018,08187,Mitja,,
13.1.1,2018,08188,Mitja,,
13.1.1,2018,08189,Mitja,,
13.1.1,2018,08190,Mitja,,
13.1.1,2018,08191,Mitja,,
13.1.1,2018,08192,Mitja,,
13.1.1,2018,08193,Mitja,,
13.1.1,2018,08194,Molt Alta,,
13.1.1,2018,08195,Mitja,,
13.1.1,2018,08196,Mitja,,
13.1.1,2018,08197,Mitja,,
13.1.1,2018,08198,Mitja,,
13.1.1,2018,08199,Mitja,,
13.1.1,2018,08200,Molt Alta,,
13.1.1,2018,08201,Mitja,,
13.1.1,2018,08202,Mitja,,
13.1.1,2018,08203,Mitja,,
13.1.1,2018,08204,Mitja,,
13.1.1,2018,08205,Alta,,
13.1.1,2018,08206,Mitja,,
13.1.1,2018,08207,Mitja,,
13.1.1,2018,08208,Alta,,
13.1.1,2018,08209,Mitja,,
13.1.1,2018,08210,Mitja,,
13.1.1,2018,08211,Mitja,,
13.1.1,2018,08212,Mitja,,
13.1.1,2018,08213,Mitja,,
13.1.1,2018,08214,Mitja,,
13.1.1,2018,08215,Mitja,,
13.1.1,2018,08216,Mitja,,
13.1.1,2018,08217,Alta,,
13.1.1,2018,08218,Mitja,,
13.1.1,2018,08219,Alta,,
13.1.1,2018,08220,Mitja,,
13.1.1,2018,08221,Alta,,
13.1.1,2018,08222,Mitja,,
13.1.1,2018,08223,Mitja,,
13.1.1,2018,08224,Mitja,,
13.1.1,2018,08225,Mitja,,
13.1.1,2018,08226,Mitja,,
13.1.1,2018,08227,Mitja,,
13.1.1,2018,08228,Mitja,,
13.1.1,2018,08229,Alta,,
13.1.1,2018,08230,Mitja,,
13.1.1,2018,08231,Alta,,
13.1.1,2018,08232,Mitja,,
13.1.1,2018,08233,Mitja,,
13.1.1,2018,08234,Mitja,,
13.1.1,2018,08235,Mitja,,
13.1.1,2018,08236,Mitja,,
13.1.1,2018,08237,Mitja,,
13.1.1,2018,08238,Mitja,,
13.1.1,2018,08239,Mitja,,
13.1.1,2018,08240,Mitja,,
13.1.1,2018,08241,Mitja,,
13.1.1,2018,08242,Mitja,,
13.1.1,2018,08243,Mitja,,
13.1.1,2018,08244,Mitja,,
13.1.1,2018,08245,Alta,,
13.1.1,2018,08246,Mitja,,
13.1.1,2018,08247,Mitja,,
13.1.1,2018,08248,Mitja,,
13.1.1,2018,08249,Mitja,,
13.1.1,2018,08250,Mitja,,
13.1.1,2018,08251,Mitja,,
