codi_municipi,any,valor_final
08001,2019,"13,13"
08002,2019,"4,00"
08003,2019,"22,06"
08004,2019,"15,59"
08005,2019,"0,50"
08006,2019,"14,43"
08007,2019,"0,57"
08008,2019,"9,63"
08009,2019,"5,68"
08010,2019,"6,20"
08011,2019,"3,67"
08012,2019,"1,37"
08013,2019,"38,13"
08014,2019,"10,08"
08015,2019,"0,00"
08016,2019,"6,38"
08017,2019,"3,33"
08018,2019,"0,26"
08019,2019,"27,60"
08020,2019,"11,52"
08021,2019,"0,00"
08022,2019,"0,51"
08023,2019,"0,00"
08024,2019,"2,09"
08025,2019,"11,01"
08026,2019,"5,66"
08027,2019,"31,10"
08028,2019,"47,87"
08029,2019,"11,10"
08030,2019,"8,23"
08031,2019,"0,51"
08032,2019,"0,00"
08033,2019,"2,10"
08034,2019,"14,56"
08035,2019,"3,11"
08036,2019,"1,97"
08037,2019,"0,00"
08038,2019,"0,00"
08039,2019,"3,59"
08040,2019,"4,89"
08041,2019,"11,66"
08042,2019,"4,14"
08043,2019,"4,92"
08044,2019,"0,00"
08045,2019,"2,53"
08046,2019,"13,82"
08047,2019,"7,17"
08048,2019,"1,98"
08049,2019,"4,97"
08050,2019,"0,00"
08051,2019,"0,00"
08052,2019,"0,00"
08053,2019,"7,26"
08054,2019,"12,39"
08055,2019,"30,93"
08056,2019,"0,00"
08057,2019,"0,00"
08058,2019,"14,19"
08059,2019,"3,84"
08060,2019,"6,55"
08061,2019,"10,15"
08062,2019,"0,00"
08063,2019,"0,00"
08064,2019,"36,82"
08065,2019,"26,84"
08066,2019,"16,59"
08067,2019,"1,52"
08068,2019,"0,00"
08069,2019,"15,80"
08070,2019,"13,01"
08071,2019,"0,84"
08072,2019,"0,00"
08073,2019,"2,63"
08074,2019,"9,07"
08075,2019,"3,94"
08076,2019,"5,87"
08077,2019,"0,00"
08078,2019,"17,64"
08079,2019,"0,00"
08080,2019,"0,00"
08081,2019,"3,11"
08082,2019,"1,00"
08083,2019,"0,22"
08084,2019,"1,88"
08085,2019,"36,48"
08086,2019,"4,33"
08087,2019,"37,38"
08088,2019,"0,00"
08089,2019,"3,27"
08090,2019,"0,00"
08091,2019,"64,04"
08092,2019,"6,42"
08093,2019,"0,00"
08094,2019,"32,22"
08095,2019,"11,94"
08096,2019,"0,79"
08097,2019,"0,00"
08098,2019,"21,29"
08099,2019,"0,00"
08100,2019,"0,91"
08101,2019,"0,00"
08102,2019,"0,00"
08103,2019,"0,02"
08104,2019,"4,51"
08105,2019,"0,00"
08106,2019,"13,85"
08107,2019,"16,57"
08108,2019,"5,96"
08109,2019,"5,06"
08110,2019,"1,24"
08111,2019,"0,00"
08112,2019,"1,94"
08113,2019,"15,26"
08114,2019,"0,00"
08115,2019,"0,00"
08116,2019,"0,00"
08117,2019,"0,28"
08118,2019,"0,00"
08119,2019,"52,15"
08120,2019,"0,00"
08121,2019,"8,56"
08122,2019,"31,10"
08123,2019,"16,48"
08124,2019,"39,95"
08125,2019,"0,00"
08126,2019,"0,00"
08127,2019,"35,00"
08128,2019,"3,48"
08129,2019,"0,00"
08130,2019,"2,53"
08131,2019,"0,00"
08132,2019,"5,89"
08133,2019,"0,00"
08134,2019,"0,00"
08135,2019,"0,00"
08136,2019,"10,15"
08137,2019,"2,29"
08138,2019,"15,31"
08139,2019,"68,15"
08140,2019,"0,00"
08141,2019,"1,65"
08142,2019,"0,00"
08143,2019,"6,40"
08144,2019,"12,58"
08145,2019,"32,92"
08146,2019,"16,63"
08147,2019,"0,00"
08148,2019,"67,21"
08149,2019,"0,00"
08150,2019,"0,00"
08151,2019,"0,66"
08152,2019,"0,00"
08153,2019,"36,17"
08154,2019,"52,24"
08155,2019,"7,93"
08156,2019,"5,28"
08157,2019,"0,00"
08158,2019,"9,76"
08159,2019,"23,73"
08160,2019,"0,00"
08161,2019,"33,69"
08162,2019,"20,27"
08163,2019,"2,53"
08164,2019,"44,04"
08165,2019,"4,28"
08166,2019,"0,89"
08167,2019,"8,27"
08168,2019,"33,48"
08169,2019,"4,17"
08170,2019,"4,41"
08171,2019,"0,80"
08172,2019,"0,00"
08174,2019,"92,75"
08175,2019,"6,33"
08176,2019,"0,09"
08177,2019,"0,47"
08178,2019,"0,92"
08179,2019,"0,00"
08180,2019,"0,00"
08181,2019,"2,48"
08182,2019,"17,35"
08183,2019,"0,00"
08184,2019,"0,00"
08185,2019,"0,00"
08187,2019,"0,56"
08188,2019,"5,31"
08189,2019,"3,13"
08190,2019,"0,47"
08191,2019,"2,30"
08192,2019,"0,00"
08193,2019,"0,00"
08194,2019,"0,00"
08195,2019,"0,00"
08196,2019,"0,00"
08197,2019,"1,14"
08198,2019,"11,52"
08199,2019,"0,00"
08200,2019,"6,72"
08201,2019,"2,07"
08202,2019,"13,07"
08203,2019,"0,00"
08204,2019,"16,00"
08205,2019,"6,66"
08206,2019,"21,28"
08207,2019,"3,18"
08208,2019,"20,91"
08209,2019,"0,00"
08210,2019,"0,00"
08211,2019,"19,37"
08212,2019,"0,00"
08213,2019,"3,17"
08214,2019,"14,41"
08215,2019,"0,00"
08216,2019,"0,00"
08217,2019,"17,32"
08218,2019,"1,82"
08219,2019,"3,39"
08220,2019,"1,02"
08221,2019,"10,00"
08222,2019,"52,33"
08223,2019,"4,92"
08224,2019,"0,20"
08225,2019,"0,00"
08226,2019,"4,24"
08227,2019,"30,48"
08228,2019,"0,00"
08229,2019,"4,20"
08230,2019,"31,85"
08231,2019,"12,18"
08232,2019,"38,00"
08233,2019,"8,25"
08234,2019,"4,67"
08235,2019,"1,70"
08236,2019,"34,80"
08237,2019,"0,00"
08238,2019,"0,00"
08239,2019,"10,47"
08240,2019,"70,76"
08241,2019,"0,00"
08242,2019,"6,02"
08243,2019,"0,00"
08244,2019,"7,59"
08245,2019,"0,00"
08246,2019,"0,00"
08247,2019,"5,60"
08248,2019,"11,95"
08249,2019,"44,90"
08250,2019,"1,26"
08251,2019,"21,78"
08252,2019,"9,50"
08253,2019,"0,00"
08254,2019,"0,21"
08255,2019,"3,97"
08256,2019,"22,95"
08257,2019,"24,28"
08258,2019,"15,77"
08259,2019,"6,32"
08260,2019,"0,23"
08261,2019,"1,50"
08262,2019,"29,30"
08263,2019,"10,06"
08264,2019,"4,75"
08265,2019,"3,61"
08266,2019,"1,07"
08267,2019,"5,72"
08268,2019,"0,00"
08269,2019,"0,67"
08270,2019,"12,24"
08271,2019,"0,00"
08272,2019,"0,46"
08273,2019,"51,46"
08274,2019,"3,25"
08275,2019,"0,94"
08276,2019,"0,00"
08277,2019,"3,86"
08278,2019,"7,08"
08279,2019,"7,28"
08280,2019,"0,20"
08281,2019,"13,83"
08282,2019,"48,78"
08283,2019,"5,39"
08284,2019,"5,25"
08285,2019,"2,72"
08286,2019,"25,82"
08287,2019,"50,55"
08288,2019,"36,45"
08289,2019,"9,21"
08290,2019,"0,00"
08291,2019,"0,11"
08292,2019,"0,00"
08293,2019,"5,01"
08294,2019,"17,29"
08295,2019,"24,22"
08296,2019,"11,78"
08297,2019,"0,01"
08298,2019,"1,76"
08299,2019,"0,00"
08300,2019,"0,00"
08301,2019,"4,60"
08302,2019,"0,00"
08303,2019,"0,00"
08304,2019,"26,86"
08305,2019,"16,51"
08306,2019,"0,00"
08307,2019,"0,23"
08308,2019,"0,66"
08901,2019,"12,45"
08902,2019,"0,55"
08903,2019,"0,50"
08904,2019,"0,00"
08905,2019,"0,00"
