id_fita,nom_fita
10.7,"Facilitar una migració i mobilitat ordenades, segures, regulars i responsables de les persones, també mitjançant l’aplicació de polítiques migratòries planificades i ben gestionades."
11.1,"Assegurar l’accés de totes les persones a habitatges i a serveis bàsics adequats, segurs i assequibles, amb especial atenció als barris i zones amb més vulnerabilitat."
11.2,"Proporcionar accés a sistemes de transport segurs, assequibles, accessibles, sostenibles i millorar la seguretat viària."
11.3,Aconseguir un model urbà inclusiu i sostenible a través d'una planificació estratègica concertada amb els agents del territori i amb la participació de la ciutadania.
11.4,Redoblar els esforços per protegir i salvaguardar el patrimoni cultural i natural.
11.5,Reduir de manera significativa el nombre de morts i les pèrdues econòmiques causades per desastres.
11.6,"Reduir l’impacte ambiental negatiu en el conjunt del territori, amb especial atenció a la qualitat de l'aire i la gestió de residus municipals."
11.7,"Proporcionar accés universal a més zones verdes i espais públics segurs, inclusius i accessibles, amb especial èmfasi a les dones, els infants, les persones grans i les persones amb discapacitat."
11.a,"Enfortir la planificació estratègica urbana i territorial, donant suport als vincles econòmics, socials i ambientals entre zones urbanes, periurbanes i rurals."
11.b,Integrada amb la fita 13.1
12.1,"Fomentar el consum i producció sostenibles, així com el comerç de proximitat"
12.2,Assolir la gestió sostenible i un ús eficient dels recursos naturals.
12.3,Reduir substancialment el malbaratament alimentari i les pèrdues d’aliments a les cadenes de producció i distribució.
12.5,"Disminuir substancialment la generació de residus mitjançant polítiques de prevenció, reducció, reciclatge i reutilització."
12.6,Fomentar l'adopció de pràctiques sostenibles al teixit empresarial.
12.7,"Promoure pràctiques de contractació pública sostenible (clàusules socials, mediambientals i econòmiques)."
12.8,Assegurar que el conjunt de la ciutadania tingui la informació i conscienciació pertinents per assolir el desenvolupament i els estils de vida sostenibles.
12.b,Integrada amb la fita 8.9
13.1,Enfortir la resiliència i la capacitat d’adaptació als riscos relacionats amb el clima i els desastres naturals.
13.2,"Incorporar mesures relatives al canvi climàtic en les polítiques, les estratègies i els plans locals."
13.3,"Millorar l’educació, la sensibilització i la capacitat ciutadana i institucional pel que fa a la mitigació i adaptació al canvi climàtic."
14.1,"Prevenir i reduir significativament la contaminació marina de tota mena i, en particular, l’ocasionada per activitats terrestres."
14.2,Protegir i promoure la gestió sostenible dels ecosistemes marins i costaners.
14.a,Impulsar el coneixement científic a fi de millorar la salut dels oceans i potenciar la contribució de la biodiversitat marina.
14.b,Fomentar l'accés dels pescadors artesanals en petita escala als recursos marins i als mercats.
15.1,"Vetllar per la conservació, el restabliment i l’ús sostenible dels ecosistemes terrestres i d'aigua dolça, en particular els boscos, els aiguamolls, les muntanyes i les zones àrides."
15.2,"Augmentar el número de boscos amb gestió sostenible, posant fi a la desforestació, recuperant el boscos degradats i incrementant substancialment la repoblació forestal i la reforestació."
15.3,"Lluitar contra la desertificació, rehabilitar les terres i els sòls degradats, incloses les terres afectades per la desertificació, la sequera i les inundacions."
15.4,"Vetllar per la conservació dels ecosistemes muntanyosos, en particular, de la seva diversitat biològica."
15.5,"Reduir la degradació dels hàbitats naturals, aturar la pèrdua de la diversitat biològica i protegir les espècies amenaçades."
