codi_indicador,any,codi_municipi,valor_final
17.2.2001,2022,Diputació de Barcelona,4239640
17.2.2001,2022,la Garriga,"131563,4"
17.2.2001,2022,Santa Coloma de Gramenet,"436984,6"
17.2.2001,2022,Castellbisbal,"153248,3"
17.2.2001,2022,Consell Comarcal d´Osona,"10000,04"
17.2.2001,2022,Caldes de Montbui,"107094,5"
17.2.2001,2022,Àrea Metropolitana de Barcelona,1608258
17.2.2001,2022,Santa Perpètua de Mogoda,"173694,5"
17.2.2001,2022,Consell Comarcal del Vallès Occidental,"8339,67"
17.2.2001,2022,Sant Boi de Llobregat,"407475,2"
17.2.2001,2022,Igualada,"243120,3"
17.2.2001,2022,Sant Vicenç dels Horts,"127614,5"
17.2.2001,2022,Vilafranca del Penedès,"189697,9"
17.2.2001,2022,Barcelona,10415429
17.2.2001,2022,Sant Quirze del Vallès,"95887,76"
17.2.2001,2022,Sant Adrià de Besòs,"138915,4"
17.2.2001,2022,Sant Cugat del Vallès,"554287,3"
17.2.2001,2022,Castelldefels,"321427,2"
17.2.2001,2022,Martorell,"144733,8"
17.2.2001,2022,la Roca del Vallès,"56418,4"
17.2.2001,2022,Sant Pere de Ribes,"111341,3"
17.2.2001,2022,Centelles,24240
17.2.2001,2022,Cerdanyola del Vallès,"192490,7"
17.2.2001,2022,Castellar del Vallès,"103143,2"
17.2.2001,2022,Granollers,"252279,2"
17.2.2001,2022,Esplugues de Llobregat,"165623,7"
17.2.2001,2022,Alella,"44138,7"
17.2.2001,2022,Rubí,"275181,7"
17.2.2001,2022,Alpens,"1146,18"
17.2.2001,2022,Gavà,"148645,1"
17.2.2001,2022,Sabadell,"629597,9"
17.2.2001,2022,Sant Llorenç Savall,8600
17.2.2001,2022,Sant Joan Despí,"135018,8"
17.2.2001,2022,Matadepera,"39963,1"
17.2.2001,2022,Terrassa,"617776,1"
17.2.2001,2022,Montmeló,"38811,76"
17.2.2001,2022,Begues,37985
17.2.2001,2022,Cardedeu,52800
17.2.2001,2022,Polinyà,"33260,24"
17.2.2001,2022,Santa Coloma de Cervelló,"19547,64"
17.2.2001,2022,Sant Agustí de Lluçanès,"278,5"
17.2.2001,2022,Manresa,"213466,8"
17.2.2001,2022,Vic,"167692,6"
17.2.2001,2022,Molins de Rei,"75173,69"
17.2.2001,2022,Vilanova i la Geltrú,"210900,2"
17.2.2001,2022,Olesa de Montserrat,"52513,87"
17.2.2001,2022,Abrera,"45776,85"
17.2.2001,2022,Viladecans,"162914,4"
17.2.2001,2022,Calella,"48352,71"
17.2.2001,2022,Artés,11463
17.2.2001,2022,Palau-solità i Plegamans,"32374,82"
17.2.2001,2022,Vallgorguina,5000
17.2.2001,2022,Olesa de Bonesvalls,"4013,67"
17.2.2001,2022,"Hospitalet de Llobregat, l'","399769,3"
17.2.2001,2022,Mataró,"225896,4"
17.2.2001,2022,Malgrat de Mar,42159
17.2.2001,2022,Argentona,"23448,09"
17.2.2001,2022,"Prat de Llobregat, el","203830,2"
17.2.2001,2022,"Ametlla del Vallès, l'","18699,42"
17.2.2001,2022,Cornellà de Llobregat,"124725,7"
17.2.2001,2022,Montcada i Reixac,"63451,28"
17.2.2001,2022,Torelló,"19399,96"
17.2.2001,2022,Sant Joan de Vilatorrada,12500
17.2.2001,2022,Montornès del Vallès,"29405,33"
17.2.2001,2022,Consell Comarcal de l´Alt Penedès,800
17.2.2001,2022,Aiguafreda,3294
17.2.2001,2022,Tagamanent,561
17.2.2001,2022,Gelida,"8249,31"
17.2.2001,2022,Gualba,2300
17.2.2001,2022,Barberà del Vallès,48000
17.2.2001,2022,Parets del Vallès,"27686,6"
17.2.2001,2022,Santa Maria de Palautordera,9625
17.2.2001,2022,Subirats,4587
17.2.2001,2022,Manlleu,18000
17.2.2001,2022,Pallejà,12944
17.2.2001,2022,Borredà,800
17.2.2001,2022,Consell Comarcal del Vallès Oriental,800
17.2.2001,2022,Sentmenat,8000
17.2.2001,2022,"Cabanyes, les",1000
17.2.2001,2022,"Masnou, el","21832,12"
17.2.2001,2022,Vilassar de Mar,19000
17.2.2001,2022,Olèrdola,5600
17.2.2001,2022,"Esquirol, l'",2300
17.2.2001,2022,Font-Rubí,1440
17.2.2001,2022,Corbera de Llobregat,11000
17.2.2001,2022,"Franqueses del Vallès, les","13224,3"
17.2.2001,2022,Sant Vicenç de Montalt,"6380,05"
17.2.2001,2022,Mollet del Vallès,"29801,5"
17.2.2001,2022,Teià,"4691,68"
17.2.2001,2022,Orís,200
17.2.2001,2022,Sant Julià de Cerdanyola,150
17.2.2001,2022,Sant Just Desvern,16550
17.2.2001,2022,Tiana,5185
17.2.2001,2022,Castellví de la Marca,800
17.2.2001,2022,Sitges,20622
17.2.2001,2022,Sant Feliu de Llobregat,17930
17.2.2001,2022,Lliçà d'Amunt,"8474,01"
17.2.2001,2022,Talamanca,150
17.2.2001,2022,Canovelles,5000
17.2.2001,2022,Sant Sadurní d'Anoia,4975
17.2.2001,2022,Sant Fost de Campsentelles,3185
17.2.2001,2022,Sant Feliu de Codines,1675
17.2.2001,2022,Consell Comarcal de l´Anoia,800
17.2.2001,2022,Perafita,200
17.2.2001,2022,Arenys de Mar,"6665,44"
17.2.2001,2022,Vallromanes,5997
17.2.2001,2022,Lliçà de Vall,3185
17.2.2001,2022,Sallent,3000
17.2.2001,2022,Cabrils,2685
17.2.2001,2022,Vacarisses,2500
17.2.2001,2022,Santa Margarida de Montbui,2000
17.2.2001,2022,Badia del Vallès,2000
17.2.2001,2022,Sant Martí Sarroca,750
17.2.2001,2022,Prats de Lluçanès,600
17.2.2001,2022,Sant Martí de Tous,300
17.2.2001,2022,Castellcir,250
17.2.2001,2022,Jorba,250
17.2.2001,2022,Rubió,150
17.2.2001,2022,Premià de Mar,"4977,6"
17.2.2001,2022,Berga,2500
17.2.2001,2022,Bigues i Riells del Fai,2000
17.2.2001,2022,Sant Pere de Vilamajor,1000
17.2.2001,2022,"Arboç, l'",1000
17.2.2001,2022,Roda de Ter,1000
17.2.2001,2022,Castellterçol,600
17.2.2001,2022,Sant Esteve de Palautordera,600
17.2.2001,2022,Balsareny,600
17.2.2001,2022,Calders,300
17.2.2001,2022,Cercs,300
17.2.2001,2022,Olost,300
17.2.2001,2022,Guardiola de Berguedà,250
17.2.2001,2022,Esparreguera,3250
17.2.2001,2022,Sant Andreu de la Barca,3000
17.2.2001,2022,Pineda de Mar,3000
17.2.2001,2022,Tordera,2500
17.2.2001,2022,Sant Celoni,2500
17.2.2001,2022,Dosrius,1000
17.2.2001,2022,Súria,1000
17.2.2001,2022,Navarcles,1000
17.2.2001,2022,Santpedor,1000
17.2.2001,2022,Santa Eulàlia de Ronçana,1000
17.2.2001,2022,Arenys de Munt,1000
17.2.2001,2022,Sant Vicenç de Castellet,1000
17.2.2001,2022,"Masies de Voltregà, les",600
17.2.2001,2022,Caldes d'Estrac,600
17.2.2001,2022,Sant Cebrià de Vallalta,600
17.2.2001,2022,Sant Quintí de Mediona,"402,45"
17.2.2001,2022,Sant Iscle de Vallalta,300
17.2.2001,2022,Fogars de la Selva,300
17.2.2001,2022,Sant Vicenç de Torelló,300
17.2.2001,2022,Sant Quirze de Besora,300
17.2.2001,2022,"Bruc, el",300
17.2.2001,2022,Santa Eugènia de Berga,300
17.2.2001,2022,Sant Cugat Sesgarrigues,210
17.2.2001,2022,Badalona,"11056,52"
17.2.2001,2022,"Escala, l'",2000
17.2.2001,2022,Sant Pol de Mar,1000
17.2.2001,2022,Masquefa,1000
17.2.2001,2022,Palafolls,1000
17.2.2001,2022,Consell Comarcal del Berguedà,800
17.2.2001,2022,Cabrera de Mar,715
17.2.2001,2022,"Papiol, el",600
17.2.2001,2022,Canyelles,600
17.2.2001,2022,Sant Pere de Torelló,300
17.2.2001,2022,Mediona,300
17.2.2001,2022,Vilanova del Vallès,185
17.2.2001,2022,Avià,115
17.2.2001,2022,Consell Comarcal del Maresme,800
17.2.2001,2022,"Ampolla, l'",115
17.2.2001,2022,"Espluga de Francolí, l'",115
17.2.2001,2022,Consell Comarcal del Garraf,0
