codi_indicador,any,codi_municipi,nom_municipi,valor_final
9.8,2021,8136,Montornès del Vallès,"0,99"
9.8,2021,8137,Montseny,"0,02"
9.8,2021,8138,Moià,"0,97"
9.8,2021,8139,Mura,"0,00"
9.8,2021,8140,Navarcles,"0,99"
9.8,2021,8141,Navàs,"0,95"
9.8,2021,8142,La Nou de Berguedà,"0,00"
9.8,2021,8143,Òdena,"0,99"
9.8,2021,8144,Olvan,"0,46"
9.8,2021,8145,Olèrdola,"0,97"
9.8,2021,8146,Olesa de Bonesvalls,"0,98"
9.8,2021,8147,Olesa de Montserrat,"0,97"
9.8,2021,8148,Olivella,"1,00"
9.8,2021,8149,Olost,"0,86"
9.8,2021,8150,Orís,"0,51"
9.8,2021,8151,Oristà,"0,61"
9.8,2021,8152,Orpí,"0,95"
9.8,2021,8153,Òrrius,"0,90"
9.8,2021,8154,Pacs del Penedès,"1,00"
9.8,2021,8155,Palafolls,"0,94"
9.8,2021,8156,Palau-solità i Plegamans,"0,98"
9.8,2021,8157,Pallejà,"0,99"
9.8,2021,8158,El Papiol,"0,97"
9.8,2021,8159,Parets del Vallès,"0,99"
9.8,2021,8160,Perafita,"0,76"
9.8,2021,8161,Piera,"0,98"
9.8,2021,8162,Els Hostalets de Pierola,"0,93"
9.8,2021,8163,Pineda de Mar,"0,99"
9.8,2021,8164,El Pla del Penedès,"1,00"
9.8,2021,8165,La Pobla de Claramunt,"1,00"
9.8,2021,8166,La Pobla de Lillet,"0,00"
9.8,2021,8167,Polinyà,"0,98"
9.8,2021,8168,Pontons,"0,00"
9.8,2021,8169,El Prat de Llobregat,"1,00"
9.8,2021,8170,Els Prats de Rei,"0,00"
9.8,2021,8171,Prats de Lluçanès,"0,98"
9.8,2021,8172,Premià de Mar,"1,00"
9.8,2021,8174,Puigdàlber,"1,00"
9.8,2021,8175,Puig-reig,"0,89"
9.8,2021,8176,Pujalt,"0,00"
9.8,2021,8177,La Quar,"0,00"
9.8,2021,8178,Rajadell,"0,00"
9.8,2021,8179,Rellinars,"0,97"
9.8,2021,8180,Ripollet,"1,00"
9.8,2021,8181,La Roca del Vallès,"0,95"
9.8,2021,8182,El Pont de Vilomara i Rocafort,"0,81"
9.8,2021,8183,Roda de Ter,"1,00"
9.8,2021,8184,Rubí,"0,99"
9.8,2021,8185,Rubió,"0,25"
9.8,2021,8187,Sabadell,"1,00"
9.8,2021,8188,Sagàs,"0,00"
9.8,2021,8189,Sant Pere Sallavinera,"0,00"
9.8,2021,8190,Saldes,"0,00"
9.8,2021,8191,Sallent,"0,97"
9.8,2021,8192,Santpedor,"1,00"
9.8,2021,8193,Sant Iscle de Vallalta,"0,53"
9.8,2021,8194,Sant Adrià de Besòs,"1,00"
9.8,2021,8195,Sant Agustí de Lluçanès,"0,83"
9.8,2021,8196,Sant Andreu de la Barca,"1,00"
9.8,2021,8197,Sant Andreu de Llavaneres,"0,95"
9.8,2021,8198,Sant Antoni de Vilamajor,"0,95"
9.8,2021,8199,Sant Bartomeu del Grau,"0,72"
9.8,2021,8200,Sant Boi de Llobregat,"0,99"
9.8,2021,8201,Sant Boi de Lluçanès,"0,86"
9.8,2021,8202,Sant Celoni,"0,98"
9.8,2021,8203,Sant Cebrià de Vallalta,"0,97"
9.8,2021,8204,Sant Climent de Llobregat,"0,97"
9.8,2021,8205,Sant Cugat del Vallès,"0,99"
9.8,2021,8206,Sant Cugat Sesgarrigues,"1,00"
9.8,2021,8207,Sant Esteve de Palautordera,"0,96"
9.8,2021,8208,Sant Esteve Sesrovires,"0,99"
9.8,2021,8209,Sant Fost de Campsentelles,"0,94"
9.8,2021,8210,Sant Feliu de Codines,"0,98"
9.8,2021,8211,Sant Feliu de Llobregat,"1,00"
9.8,2021,8212,Sant Feliu Sasserra,"0,86"
9.8,2021,8213,Sant Fruitós de Bages,"0,99"
9.8,2021,8214,Vilassar de Dalt,"0,99"
9.8,2021,8215,Sant Hipòlit de Voltregà,"1,00"
9.8,2021,8216,Sant Jaume de Frontanyà,"0,00"
9.8,2021,8217,Sant Joan Despí,"1,00"
9.8,2021,8218,Sant Joan de Vilatorrada,"0,98"
9.8,2021,8219,Vilassar de Mar,"0,99"
9.8,2021,8220,Sant Julià de Vilatorta,"0,96"
9.8,2021,8221,Sant Just Desvern,"0,99"
9.8,2021,8222,Sant Llorenç d'Hortons,"0,93"
9.8,2021,8223,Sant Llorenç Savall,"0,94"
9.8,2021,8224,Sant Martí de Centelles,"0,89"
9.8,2021,8225,Sant Martí d'Albars,"0,21"
9.8,2021,8226,Sant Martí de Tous,"0,92"
9.8,2021,8227,Sant Martí Sarroca,"0,92"
9.8,2021,8228,Sant Martí Sesgueioles,"0,00"
9.8,2021,8229,Sant Mateu de Bages,"0,00"
9.8,2021,8230,Premià de Dalt,"0,99"
9.8,2021,8231,Sant Pere de Ribes,"0,97"
9.8,2021,8232,Sant Pere de Riudebitlles,"0,99"
9.8,2021,8233,Sant Pere de Torelló,"0,97"
9.8,2021,8234,Sant Pere de Vilamajor,"0,91"
9.8,2021,8235,Sant Pol de Mar,"0,96"
9.8,2021,8236,Sant Quintí de Mediona,"1,00"
9.8,2021,8237,Sant Quirze de Besora,"0,98"
9.8,2021,8238,Sant Quirze del Vallès,"0,99"
9.8,2021,8239,Sant Quirze Safaja,"0,65"
9.8,2021,8240,Sant Sadurní d'Anoia,"0,97"
9.8,2021,8241,Sant Sadurní d'Osormort,"0,55"
9.8,2021,8242,Marganell,"0,01"
9.8,2021,8243,Santa Cecília de Voltregà,"0,13"
9.8,2021,8244,Santa Coloma de Cervelló,"0,99"
9.8,2021,8245,Santa Coloma de Gramenet,"1,00"
9.8,2021,8246,Santa Eugènia de Berga,"0,96"
9.8,2021,8247,Santa Eulàlia de Riuprimer,"0,99"
9.8,2021,8248,Santa Eulàlia de Ronçana,"0,94"
9.8,2021,8249,Santa Fe del Penedès,"0,92"
9.8,2021,8250,Santa Margarida de Montbui,"0,98"
9.8,2021,8251,Santa Margarida i els Monjos,"0,96"
9.8,2021,8252,Barberà del Vallès,"1,00"
9.8,2021,8253,Santa Maria de Besora,"0,69"
9.8,2021,8254,L'Esquirol,"0,94"
9.8,2021,8255,Santa Maria de Merlès,"0,00"
9.8,2021,8256,Santa Maria de Martorelles,"0,97"
9.8,2021,8257,Santa Maria de Miralles,"0,00"
9.8,2021,8258,Santa Maria d'Oló,"0,85"
9.8,2021,8259,Santa Maria de Palautordera,"0,97"
9.8,2021,8260,Santa Perpètua de Mogoda,"1,00"
9.8,2021,8261,Santa Susanna,"0,98"
9.8,2021,8262,Sant Vicenç de Castellet,"0,99"
9.8,2021,8263,Sant Vicenç dels Horts,"1,00"
9.8,2021,8264,Sant Vicenç de Montalt,"0,97"
9.8,2021,8265,Sant Vicenç de Torelló,"0,94"
9.8,2021,8266,Cerdanyola del Vallès,"0,99"
9.8,2021,8267,Sentmenat,"0,97"
9.8,2021,8268,Cercs,"0,60"
9.8,2021,8269,Seva,"0,96"
9.8,2021,8270,Sitges,"0,99"
9.8,2021,8271,Sobremunt,"0,93"
9.8,2021,8272,Sora,"0,26"
9.8,2021,8273,Subirats,"0,98"
9.8,2021,8274,Súria,"0,96"
9.8,2021,8275,Tavèrnoles,"0,56"
9.8,2021,8276,Tagamanent,"0,15"
9.8,2021,8277,Talamanca,"0,00"
9.8,2021,8278,Taradell,"0,95"
9.8,2021,8279,Terrassa,"1,00"
9.8,2021,8280,Tavertet,"0,76"
9.8,2021,8281,Teià,"0,99"
