codi_indicador,any,codi_municipi,valor_final,valor_numerador,valor_denominador
14.1.1,2020,08006,"66,60",,
14.1.1,2020,08015,"33,30",,
14.1.1,2020,08019,"50,00",,
14.1.1,2020,08029,"100,00",,
14.1.1,2020,08032,"100,00",,
14.1.1,2020,08035,"100,00",,
14.1.1,2020,08040,"100,00",,
14.1.1,2020,08056,"100,00",,
14.1.1,2020,08074,"100,00",,
14.1.1,2020,08089,"100,00",,
14.1.1,2020,08110,"100,00",,
14.1.1,2020,08118,"100,00",,
14.1.1,2020,08121,"75,00",,
14.1.1,2020,08126,"50,00",,
14.1.1,2020,08163,"100,00",,
14.1.1,2020,08169,"100,00",,
14.1.1,2020,08172,"50,00",,
14.1.1,2020,08194,"0,00",,
14.1.1,2020,08197,"100,00",,
14.1.1,2020,08219,"0,00",,
14.1.1,2020,08235,"100,00",,
14.1.1,2020,08261,"100,00",,
14.1.1,2020,08264,"100,00",,
14.1.1,2020,08270,"100,00",,
14.1.1,2020,08301,"100,00",,
14.1.1,2020,08307,"80,00",,
14.1.1,2021,08006,"66,60",,
14.1.1,2021,08015,"50,00",,
14.1.1,2021,08019,"60,00",,
14.1.1,2021,08029,"100,00",,
14.1.1,2021,08032,"100,00",,
14.1.1,2021,08035,"100,00",,
14.1.1,2021,08040,"100,00",,
14.1.1,2021,08056,"100,00",,
14.1.1,2021,08074,"100,00",,
14.1.1,2021,08089,"100,00",,
14.1.1,2021,08110,"100,00",,
14.1.1,2021,08118,"66,60",,
14.1.1,2021,08121,"75,00",,
14.1.1,2021,08126,"50,00",,
14.1.1,2021,08163,"100,00",,
14.1.1,2021,08169,"100,00",,
14.1.1,2021,08172,"0,00",,
14.1.1,2021,08194,"0,00",,
14.1.1,2021,08197,"100,00",,
14.1.1,2021,08219,"0,00",,
14.1.1,2021,08235,"100,00",,
14.1.1,2021,08261,"100,00",,
14.1.1,2021,08264,"100,00",,
14.1.1,2021,08270,"100,00",,
14.1.1,2021,08301,"50,00",,
14.1.1,2021,08307,"80,00",,
14.1.1,2022,08006,"66,60",,
14.1.1,2022,08015,"100,00",,
14.1.1,2022,08019,"60,00",,
14.1.1,2022,08029,"100,00",,
14.1.1,2022,08032,"100,00",,
