any,codi_municipi,valor_final
2019,08281,6.67
2019,08282,5.00
2019,08283,4.33
2019,08284,5.67
2019,08285,7.00
2019,08286,6.67
2019,08287,4.67
2019,08288,4.00
2019,08289,5.33
2019,08290,5.67
2019,08291,6.33
2019,08292,5.00
2019,08293,3.33
2019,08294,3.33
2019,08295,7.67
2019,08296,5.33
2019,08297,4.33
2019,08298,6.67
2019,08299,3.33
2019,08300,6.33
2019,08301,8.33
2019,08302,6.33
2019,08303,4.00
2019,08304,4.67
2019,08305,7.00
2019,08306,6.33
2019,08307,7.33
2019,08308,2.33
2019,08901,5.00
2019,08902,5.00
2019,08903,3.33
2019,08904,4.33
2019,08905,3.67
2020,08001,3.33
2020,08002,3.67
2020,08003,7.00
2020,08004,3.33
2020,08005,3.67
2020,08006,5.33
2020,08007,5.67
2020,08008,3.33
2020,08009,5.67
2020,08010,5.33
2020,08011,3.67
2020,08012,5.67
2020,08013,3.67
2020,08014,3.00
2020,08015,8.33
2020,08016,3.50
2020,08017,5.67
2020,08018,3.00
2020,08019,8.67
2020,08020,5.00
2020,08021,2.67
2020,08022,7.67
2020,08023,4.67
2020,08024,4.00
2020,08025,5.00
2020,08026,4.33
2020,08027,4.33
2020,08028,5.00
2020,08029,3.67
2020,08030,8.00
2020,08031,7.33
2020,08032,3.67
2020,08033,5.67
2020,08034,5.67
2020,08035,6.00
2020,08036,4.33
2020,08037,6.00
2020,08038,5.67
2020,08039,3.67
2020,08040,4.00
2020,08041,7.67
2020,08042,5.00
2020,08043,4.67
2020,08044,3.67
2020,08045,4.17
2020,08046,4.33
2020,08047,5.33
2020,08048,4.67
2020,08049,6.00
2020,08050,3.33
2020,08051,9.00
2020,08052,4.00
2020,08053,3.00
2020,08054,8.00
2020,08055,4.33
2020,08056,10.00
2020,08057,4.67
2020,08058,4.33
2020,08059,3.33
2020,08060,3.67
2020,08061,5.33
2020,08062,4.33
2020,08063,5.67
2020,08064,6.67
2020,08065,7.33
2020,08066,8.00
2020,08067,6.67
2020,08068,7.67
2020,08069,5.67
2020,08070,5.67
2020,08071,4.33
2020,08072,3.67
2020,08073,
2020,08074,5.33
2020,08075,3.67
2020,08076,5.33
2020,08077,7.33
2020,08078,3.33
2020,08079,4.33
2020,08080,4.33
2020,08081,2.67
2020,08082,6.67
2020,08083,5.67
2020,08084,4.67
2020,08085,4.33
2020,08086,6.00
2020,08087,3.33
2020,08088,5.67
2020,08089,5.00
2020,08090,3.83
2020,08091,4.67
2020,08092,7.33
2020,08093,3.67
2020,08094,5.67
2020,08095,4.00
2020,08096,8.00
2020,08097,3.00
2020,08098,3.67
2020,08099,4.00
2020,08100,5.00
2020,08101,7.67
2020,08102,7.33
2020,08103,3.67
2020,08104,3.67
2020,08105,6.00
2020,08106,2.67
2020,08107,8.33
2020,08108,4.00
2020,08109,5.33
2020,08110,8.33
2020,08111,4.33
2020,08112,8.33
2020,08113,8.67
2020,08114,5.00
2020,08115,6.33
2020,08116,3.33
2020,08117,5.67
2020,08118,6.00
2020,08119,5.67
2020,08120,8.00
2020,08121,9.67
2020,08122,5.00
2020,08123,6.33
2020,08124,6.33
2020,08125,8.00
2020,08126,5.33
2020,08127,5.00
2020,08128,3.67
2020,08129,4.67
2020,08130,5.33
2020,08131,5.33
2020,08132,3.67
2020,08133,4.00
2020,08134,4.67
2020,08135,5.33
2020,08136,3.33
2020,08137,2.83
2020,08138,4.67
2020,08139,4.00
2020,08140,4.00
2020,08141,4.00
2020,08142,4.00
2020,08143,5.67
2020,08144,5.00
2020,08145,7.00
2020,08146,4.33
2020,08147,6.67
2020,08148,6.67
2020,08149,6.00
2020,08150,4.33
2020,08151,3.67
2020,08152,4.00
2020,08153,5.00
2020,08154,5.67
2020,08155,5.00
2020,08156,5.67
2020,08157,3.00
2020,08158,4.00
2020,08159,8.67
2020,08160,5.33
2020,08161,5.00
2020,08162,4.00
2020,08163,4.67
2020,08164,6.67
2020,08165,4.33
2020,08166,5.33
2020,08167,5.00
2020,08168,3.00
2020,08169,10.00
2020,08170,6.00
2020,08171,4.33
2020,08172,5.00
2020,08174,1.67
2020,08175,2.67
2020,08176,3.00
2020,08177,5.33
2020,08178,4.33
2020,08179,4.67
2020,08180,7.67
2020,08181,7.33
2020,08182,5.33
2020,08183,4.33
2020,08184,6.67
2020,08185,5.33
2020,08187,7.67
2020,08188,0.00
2020,08189,5.33
2020,08190,3.67
2020,08191,4.00
2020,08192,5.33
2020,08193,4.33
2020,08194,8.00
2020,08195,5.00
2020,08196,6.33
2020,08197,6.67
2020,08198,3.67
2020,08199,3.17
2020,08200,8.33
2020,08201,5.00
2020,08202,5.33
2020,08203,3.33
2020,08204,7.00
2020,08205,9.00
2020,08206,5.00
2020,08207,3.00
2020,08208,4.67
2020,08209,4.33
2020,08210,5.00
2020,08211,8.33
2020,08212,4.33
2020,08213,6.00
2020,08214,4.33
2020,08215,5.67
2020,08216,3.67
2020,08217,6.33
2020,08218,4.67
2020,08219,5.00
2020,08220,4.67
2020,08221,6.67
2020,08222,6.67
2020,08223,4.33
2020,08224,4.00
2020,08225,4.33
2020,08226,4.33
2020,08227,4.67
2020,08228,3.33
2020,08229,5.67
2020,08230,7.33
2020,08231,6.00
2020,08232,3.33
2020,08233,3.50
2020,08234,5.00
2020,08235,6.00
2020,08236,5.00
2020,08237,6.00
2020,08238,5.67
2020,08239,4.67
2020,08240,3.33
2020,08241,4.00
2020,08242,4.00
2020,08243,4.00
2020,08244,7.67
2020,08245,9.67
2020,08246,4.67
2020,08247,5.00
2020,08248,3.33
2020,08249,1.83
2020,08250,3.67
2020,08251,5.67
2020,08252,8.00
2020,08253,3.00
2020,08254,2.83
2020,08255,2.50
2020,08256,5.33
2020,08257,2.50
2020,08258,3.33
2020,08259,4.33
2020,08260,6.67
2020,08261,5.00
2020,08262,5.33
2020,08263,6.33
2020,08264,4.67
2020,08265,3.17
2020,08266,8.33
2020,08267,5.33
2020,08268,4.67
2020,08269,3.67
2020,08270,8.00
2020,08271,5.33
2020,08272,5.00
2020,08273,6.33
2020,08274,1.50
2020,08275,5.00
2020,08276,4.00
2020,08277,5.33
2020,08278,3.83
2020,08279,8.00
2020,08280,4.67
2020,08281,6.67
2020,08282,5.33
2020,08283,6.00
2020,08284,5.67
2020,08285,5.33
2020,08286,7.67
2020,08287,4.33
2020,08288,5.67
2020,08289,4.67
2020,08290,8.00
2020,08291,6.00
2020,08292,6.67
2020,08293,4.33
2020,08294,4.00
2020,08295,7.00
2020,08296,5.67
2020,08297,4.33
2020,08298,8.00
2020,08299,3.33
2020,08300,6.00
2020,08301,9.33
2020,08302,7.00
2020,08303,5.33
2020,08304,3.50
2020,08305,8.00
2020,08306,4.00
2020,08307,8.00
2020,08308,3.00
2020,08901,4.67
2020,08902,5.67
2020,08903,3.33
2020,08904,6.83
2020,08905,3.67
2021,08001,6.33
2021,08002,3.33
2021,08003,5.67
2021,08004,4.00
2021,08005,5.00
2021,08006,5.00
2021,08007,4.67
2021,08008,2.83
2021,08009,6.00
2021,08010,3.00
2021,08011,3.00
2021,08012,5.00
2021,08013,3.67
2021,08014,4.00
2021,08015,5.33
2021,08016,5.67
2021,08017,3.00
2021,08018,4.33
2021,08019,9.00
2021,08020,5.67
2021,08021,3.33
2021,08022,3.33
2021,08023,2.33
2021,08024,4.33
2021,08025,5.00
2021,08026,2.67
2021,08027,4.33
2021,08028,3.33
2021,08029,4.33
2021,08030,5.00
2021,08031,5.00
2021,08032,3.33
2021,08033,6.67
2021,08034,4.00
2021,08035,5.67
2021,08036,1.67
2021,08037,5.00
2021,08038,4.67
2021,08039,2.67
2021,08040,5.00
2021,08041,4.33
2021,08042,3.00
2021,08043,5.67
2021,08044,3.33
2021,08045,3.00
2021,08046,6.00
2021,08047,5.33
2021,08048,2.67
2021,08049,2.33
2021,08050,2.33
2021,08051,6.67
2021,08052,3.00
2021,08053,3.00
2021,08054,5.33
2021,08055,3.33
2021,08056,7.67
2021,08057,2.67
2021,08058,5.00
2021,08059,2.67
2021,08060,2.67
2021,08061,3.33
2021,08062,2.67
2021,08063,4.00
2021,08064,4.67
2021,08065,4.00
2021,08066,5.67
2021,08067,5.33
2021,08068,4.00
2021,08069,5.00
2021,08070,4.67
2021,08071,4.00
2021,08072,2.33
2021,08073,5.33
2021,08074,3.33
2021,08075,2.67
2021,08076,5.33
2021,08077,6.67
2021,08078,3.00
2021,08079,4.33
2021,08080,3.00
2021,08081,3.67
2021,08082,4.33
2021,08083,3.00
2021,08084,3.67
2021,08085,2.50
2021,08086,3.00
2021,08087,2.67
2021,08088,4.67
2021,08089,4.33
2021,08090,2.67
2021,08091,2.33
2021,08092,4.00
2021,08093,3.00
2021,08094,3.00
2021,08095,3.33
2021,08096,7.00
2021,08097,3.67
2021,08098,4.33
2021,08099,4.00
2021,08100,4.33
2021,08101,8.33
2021,08102,4.67
2021,08103,3.00
2021,08104,2.67
2021,08105,5.67
2021,08106,5.00
2021,08107,6.67
2021,08108,3.00
2021,08109,4.00
2021,08110,6.67
2021,08111,3.67
2021,08112,7.67
2021,08113,6.67
2021,08114,4.00
2021,08115,7.00
2021,08116,4.33
2021,08117,6.00
2021,08118,6.00
2021,08119,3.33
2021,08120,4.33
2021,08121,7.67
2021,08122,2.67
2021,08123,4.00
2021,08124,6.00
2021,08125,8.00
2021,08126,6.00
2021,08127,3.33
2021,08128,4.67
2021,08129,2.67
2021,08130,4.67
2021,08131,5.00
2021,08132,4.00
2021,08133,3.00
2021,08134,5.33
2021,08135,4.33
2021,08136,6.33
2021,08137,2.67
2021,08138,2.33
2021,08139,4.00
2021,08140,2.67
2021,08141,4.33
2021,08142,3.00
2021,08143,3.67
2021,08144,4.33
2021,08145,5.67
2021,08146,3.33
2021,08147,6.00
2021,08148,4.33
2021,08149,4.00
2021,08150,2.00
2021,08151,3.00
2021,08152,3.67
2021,08153,2.67
2021,08154,4.33
2021,08155,4.00
2021,08156,4.67
2021,08157,1.67
2021,08158,5.33
2021,08159,6.00
2021,08160,4.67
2021,08161,4.00
2021,08162,4.00
2021,08163,3.67
2021,08164,3.33
2021,08165,4.00
2021,08166,5.00
2021,08167,5.67
2021,08168,2.67
2021,08169,7.33
2021,08170,2.67
2021,08171,3.33
2021,08172,5.67
2021,08174,5.33
2021,08175,3.67
2021,08176,2.33
2021,08177,1.67
2021,08178,3.00
2021,08179,4.67
2021,08180,5.33
2021,08181,3.33
2021,08182,3.33
2021,08183,2.83
2021,08184,7.00
2021,08185,4.00
2021,08187,5.33
2021,08188,3.00
2021,08189,3.67
2021,08190,2.67
2021,08191,3.67
2021,08192,3.33
2021,08193,4.67
2021,08194,6.00
2021,08195,4.67
2021,08196,4.67
2021,08197,4.83
2021,08198,2.83
2021,08199,4.00
2021,08200,7.33
2021,08201,2.67
2021,08202,4.83
2021,08203,4.67
2021,08204,5.33
2021,08205,6.67
2021,08206,4.67
2021,08207,3.67
2021,08208,4.67
2021,08209,4.67
2021,08210,4.00
2021,08211,6.00
2021,08212,2.67
2021,08213,1.33
2021,08214,5.00
2021,08215,6.33
2021,08216,2.67
2021,08217,6.67
2021,08218,3.33
2021,08219,4.33
2021,08220,6.33
2021,08221,
2021,08222,4.67
2021,08223,5.67
2021,08224,3.00
2021,08225,3.67
2021,08226,4.00
2021,08227,3.00
2021,08228,2.67
2021,08229,4.67
2021,08230,7.33
2021,08231,5.00
2021,08232,4.33
2021,08233,4.83
2021,08234,5.00
2021,08235,6.67
2021,08236,3.67
2021,08237,5.67
2021,08238,6.00
2021,08239,4.00
2021,08240,5.33
2021,08241,3.67
2021,08242,3.33
2021,08243,3.33
2021,08244,7.00
2021,08245,8.00
2021,08246,5.00
2021,08247,3.33
2021,08248,5.67
2021,08249,4.00
2021,08250,4.67
2021,08251,5.67
2021,08252,4.33
2021,08253,2.67
2021,08254,2.83
2021,08255,2.33
2021,08256,4.67
2021,08257,3.67
2021,08258,4.00
2021,08259,5.67
2021,08260,5.67
2021,08261,3.67
2021,08262,4.33
2021,08263,4.00
2021,08264,4.00
2021,08265,2.50
2021,08266,5.33
2021,08267,8.00
2021,08268,4.67
2021,08269,4.00
2021,08270,5.67
2021,08271,2.67
2021,08272,3.00
2021,08273,5.00
2021,08274,4.33
2021,08275,4.00
2021,08276,3.00
2021,08277,3.67
2021,08278,6.33
2021,08279,7.00
2021,08280,3.00
2021,08281,5.33
2021,08282,3.00
2021,08283,4.67
2021,08284,6.00
2021,08285,5.67
2021,08286,5.00
2021,08287,4.33
2021,08288,4.67
2021,08289,3.67
2021,08290,6.67
2021,08291,5.67
2021,08292,4.67
2021,08293,2.33
2021,08294,4.00
2021,08295,6.67
2021,08296,6.67
2021,08297,4.00
2021,08298,5.00
2021,08299,3.33
2021,08300,5.67
2021,08301,6.67
2021,08302,4.33
2021,08303,4.33
2021,08304,3.17
2021,08305,5.67
2021,08306,4.33
2021,08307,6.67
2021,08308,2.33
2021,08901,3.67
2021,08902,5.00
2021,08903,4.00
2021,08904,4.33
2021,08905,4.00
2022,08001,6.33
2022,08002,4.33
2022,08003,6.33
2022,08004,2.00
2022,08005,4.83
2022,08006,5.67
2022,08007,6.67
2022,08008,3.67
2022,08009,8.00
2022,08010,3.67
2022,08011,4.67
2022,08012,5.00
2022,08013,5.00
2022,08014,4.00
2022,08015,8.50
2022,08016,5.00
2022,08017,3.17
2022,08018,2.00
2022,08019,8.50
2022,08020,6.67
2022,08021,3.33
2022,08022,6.00
2022,08023,8.00
2022,08024,4.50
2022,08025,2.33
2022,08026,6.33
2022,08027,2.33
2022,08028,2.33
2022,08029,6.67
2022,08030,7.17
2022,08031,2.00
2022,08032,2.00
2022,08033,7.00
2022,08034,6.67
2022,08035,6.33
2022,08036,2.33
2022,08037,6.67
2022,08038,5.33
2022,08039,2.00
2022,08040,7.00
2022,08041,7.67
2022,08042,4.67
2022,08043,4.67
2022,08044,6.00
2022,08045,5.00
