codi_indicador,any,codi_municipi,valor_final
9.5.1,2024,08001,32
9.5.1,2024,08002,2
9.5.1,2024,08003,41
9.5.1,2024,08004,0
9.5.1,2024,08005,21
9.5.1,2024,08006,30
9.5.1,2024,08007,10
9.5.1,2024,08008,0
9.5.1,2024,08009,24
9.5.1,2024,08010,7
9.5.1,2024,08011,2
9.5.1,2024,08012,3
9.5.1,2024,08013,2
9.5.1,2024,08014,8
9.5.1,2024,08015,352
9.5.1,2024,08016,2
9.5.1,2024,08017,7
9.5.1,2024,08018,2
9.5.1,2024,08019,10421
9.5.1,2024,08020,16
9.5.1,2024,08021,0
9.5.1,2024,08022,44
9.5.1,2024,08023,3
9.5.1,2024,08024,0
9.5.1,2024,08025,4
9.5.1,2024,08026,0
9.5.1,2024,08027,1
9.5.1,2024,08028,1
9.5.1,2024,08029,26
9.5.1,2024,08030,17
9.5.1,2024,08031,7
9.5.1,2024,08032,3
9.5.1,2024,08033,42
9.5.1,2024,08034,0
9.5.1,2024,08035,44
9.5.1,2024,08037,6
9.5.1,2024,08038,3
9.5.1,2024,08039,2
9.5.1,2024,08040,16
9.5.1,2024,08041,12
9.5.1,2024,08042,4
9.5.1,2024,08043,5
9.5.1,2024,08044,6
9.5.1,2024,08045,0
9.5.1,2024,08046,41
9.5.1,2024,08047,8
9.5.1,2024,08048,1
9.5.1,2024,08049,1
9.5.1,2024,08050,0
9.5.1,2024,08051,35
9.5.1,2024,08052,1
9.5.1,2024,08053,4
9.5.1,2024,08054,23
9.5.1,2024,08055,0
9.5.1,2024,08056,181
9.5.1,2024,08058,4
9.5.1,2024,08059,0
9.5.1,2024,08061,3
9.5.1,2024,08062,2
9.5.1,2024,08063,2
9.5.1,2024,08064,4
9.5.1,2024,08065,2
9.5.1,2024,08066,3
9.5.1,2024,08067,16
9.5.1,2024,08068,19
9.5.1,2024,08069,6
9.5.1,2024,08070,1
9.5.1,2024,08071,1
9.5.1,2024,08072,32
9.5.1,2024,08073,225
9.5.1,2024,08074,16
9.5.1,2024,08075,7
9.5.1,2024,08076,40
9.5.1,2024,08077,114
9.5.1,2024,08078,0
9.5.1,2024,08079,0
9.5.1,2024,08081,2
9.5.1,2024,08082,3
9.5.1,2024,08083,3
9.5.1,2024,08084,0
9.5.1,2024,08085,2
9.5.1,2024,08086,51
9.5.1,2024,08087,0
9.5.1,2024,08088,35
9.5.1,2024,08089,115
9.5.1,2024,08090,0
9.5.1,2024,08091,9
9.5.1,2024,08092,7
9.5.1,2024,08093,0
9.5.1,2024,08094,3
9.5.1,2024,08095,0
9.5.1,2024,08096,207
9.5.1,2024,08097,3
9.5.1,2024,08098,4
9.5.1,2024,08099,0
9.5.1,2024,08100,8
9.5.1,2024,08101,386
9.5.1,2024,08102,151
9.5.1,2024,08103,1
9.5.1,2024,08104,1
9.5.1,2024,08105,14
9.5.1,2024,08106,24
9.5.1,2024,08107,15
9.5.1,2024,08108,13
9.5.1,2024,08109,0
9.5.1,2024,08110,27
9.5.1,2024,08111,0
9.5.1,2024,08112,40
9.5.1,2024,08113,259
9.5.1,2024,08114,62
9.5.1,2024,08115,8
9.5.1,2024,08116,1
9.5.1,2024,08117,8
9.5.1,2024,08118,58
9.5.1,2024,08119,5
9.5.1,2024,08120,21
9.5.1,2024,08121,335
9.5.1,2024,08122,3
9.5.1,2024,08123,69
9.5.1,2024,08124,86
9.5.1,2024,08125,74
9.5.1,2024,08126,28
9.5.1,2024,08127,9
9.5.1,2024,08128,0
9.5.1,2024,08129,1
9.5.1,2024,08130,0
9.5.1,2024,08131,0
9.5.1,2024,08132,1
9.5.1,2024,08133,0
9.5.1,2024,08134,1
9.5.1,2024,08135,13
9.5.1,2024,08136,15
9.5.1,2024,08137,0
9.5.1,2024,08138,15
9.5.1,2024,08139,0
9.5.1,2024,08140,6
9.5.1,2024,08141,13
9.5.1,2024,08142,0
9.5.1,2024,08143,3
9.5.1,2024,08144,1
9.5.1,2024,08145,8
9.5.1,2024,08146,2
9.5.1,2024,08147,32
9.5.1,2024,08148,9
9.5.1,2024,08149,0
9.5.1,2024,08150,1
9.5.1,2024,08151,0
9.5.1,2024,08152,0
9.5.1,2024,08153,0
9.5.1,2024,08154,0
9.5.1,2024,08155,13
9.5.1,2024,08156,22
9.5.1,2024,08157,26
9.5.1,2024,08158,3
9.5.1,2024,08159,49
9.5.1,2024,08160,1
9.5.1,2024,08161,13
9.5.1,2024,08162,3
9.5.1,2024,08163,28
9.5.1,2024,08164,0
9.5.1,2024,08165,2
9.5.1,2024,08166,3
9.5.1,2024,08167,13
9.5.1,2024,08168,0
9.5.1,2024,08169,123
9.5.1,2024,08170,0
9.5.1,2024,08171,8
9.5.1,2024,08172,43
9.5.1,2024,08174,1
9.5.1,2024,08175,7
9.5.1,2024,08176,3
9.5.1,2024,08178,0
9.5.1,2024,08179,0
9.5.1,2024,08180,58
9.5.1,2024,08181,9
9.5.1,2024,08182,2
9.5.1,2024,08183,4
9.5.1,2024,08184,139
9.5.1,2024,08185,0
9.5.1,2024,08187,468
9.5.1,2024,08188,0
9.5.1,2024,08189,0
9.5.1,2024,08190,0
9.5.1,2024,08191,15
9.5.1,2024,08192,18
9.5.1,2024,08193,0
9.5.1,2024,08194,50
9.5.1,2024,08196,42
9.5.1,2024,08197,26
9.5.1,2024,08198,6
9.5.1,2024,08199,1
9.5.1,2024,08200,120
9.5.1,2024,08201,1
9.5.1,2024,08202,31
9.5.1,2024,08203,6
9.5.1,2024,08204,8
9.5.1,2024,08205,629
9.5.1,2024,08206,1
9.5.1,2024,08207,7
9.5.1,2024,08208,22
9.5.1,2024,08209,8
9.5.1,2024,08210,15
9.5.1,2024,08211,93
9.5.1,2024,08212,0
9.5.1,2024,08213,27
9.5.1,2024,08214,34
9.5.1,2024,08215,3
9.5.1,2024,08217,86
9.5.1,2024,08218,11
9.5.1,2024,08219,51
9.5.1,2024,08220,5
9.5.1,2024,08221,104
9.5.1,2024,08222,2
9.5.1,2024,08223,2
9.5.1,2024,08224,0
9.5.1,2024,08225,0
9.5.1,2024,08226,0
9.5.1,2024,08227,3
9.5.1,2024,08228,1
9.5.1,2024,08229,0
9.5.1,2024,08230,26
9.5.1,2024,08231,73
9.5.1,2024,08232,2
9.5.1,2024,08233,1
9.5.1,2024,08234,6
9.5.1,2024,08235,10
9.5.1,2024,08236,0
9.5.1,2024,08237,2
9.5.1,2024,08238,68
9.5.1,2024,08239,0
9.5.1,2024,08240,36
9.5.1,2024,08241,0
9.5.1,2024,08242,1
9.5.1,2024,08243,0
9.5.1,2024,08244,12
9.5.1,2024,08245,83
9.5.1,2024,08246,2
9.5.1,2024,08247,1
9.5.1,2024,08248,7
9.5.1,2024,08249,0
9.5.1,2024,08250,4
9.5.1,2024,08251,7
9.5.1,2024,08252,67
9.5.1,2024,08253,0
9.5.1,2024,08254,4
9.5.1,2024,08255,0
9.5.1,2024,08256,1
9.5.1,2024,08257,0
9.5.1,2024,08258,0
9.5.1,2024,08259,14
9.5.1,2024,08260,46
9.5.1,2024,08261,4
9.5.1,2024,08262,17
9.5.1,2024,08263,33
9.5.1,2024,08264,15
9.5.1,2024,08265,4
9.5.1,2024,08266,196
9.5.1,2024,08267,8
9.5.1,2024,08268,0
9.5.1,2024,08269,10
9.5.1,2024,08270,96
9.5.1,2024,08272,0
9.5.1,2024,08273,5
9.5.1,2024,08274,5
9.5.1,2024,08275,2
9.5.1,2024,08276,0
9.5.1,2024,08277,0
9.5.1,2024,08278,19
9.5.1,2024,08279,474
9.5.1,2024,08280,0
9.5.1,2024,08281,15
9.5.1,2024,08282,15
9.5.1,2024,08283,19
9.5.1,2024,08284,22
9.5.1,2024,08285,22
9.5.1,2024,08286,0
9.5.1,2024,08287,1
9.5.1,2024,08288,1
9.5.1,2024,08289,8
9.5.1,2024,08290,6
9.5.1,2024,08291,6
9.5.1,2024,08292,0
9.5.1,2024,08293,1
9.5.1,2024,08294,6
9.5.1,2024,08295,18
9.5.1,2024,08296,5
9.5.1,2024,08297,0
9.5.1,2024,08298,202
9.5.1,2024,08299,1
9.5.1,2024,08300,9
9.5.1,2024,08301,99
9.5.1,2024,08302,12
9.5.1,2024,08303,0
9.5.1,2024,08304,0
9.5.1,2024,08305,110
9.5.1,2024,08306,0
9.5.1,2024,08307,166
9.5.1,2024,08308,0
9.5.1,2024,08901,0
9.5.1,2024,08902,10
9.5.1,2024,08903,1
9.5.1,2024,08904,0
9.5.1,2024,08905,5
9.5.1,2023,08001,30
9.5.1,2023,08002,2
9.5.1,2023,08003,34
9.5.1,2023,08004,0
9.5.1,2023,08005,20
9.5.1,2023,08006,31
9.5.1,2023,08007,11
9.5.1,2023,08008,0
9.5.1,2023,08009,22
9.5.1,2023,08010,9
9.5.1,2023,08011,2
9.5.1,2023,08012,2
9.5.1,2023,08013,2
9.5.1,2023,08014,8
9.5.1,2023,08015,347
9.5.1,2023,08016,2
9.5.1,2023,08017,6
9.5.1,2023,08018,1
9.5.1,2023,08019,10099
9.5.1,2023,08020,16
9.5.1,2023,08021,0
9.5.1,2023,08022,40
9.5.1,2023,08023,5
9.5.1,2023,08024,0
9.5.1,2023,08025,4
9.5.1,2023,08026,0
9.5.1,2023,08027,1
9.5.1,2023,08028,1
9.5.1,2023,08029,27
9.5.1,2023,08030,17
9.5.1,2023,08031,7
9.5.1,2023,08032,2
9.5.1,2023,08033,42
9.5.1,2023,08034,0
9.5.1,2023,08035,42
9.5.1,2023,08037,5
9.5.1,2023,08038,1
9.5.1,2023,08039,3
9.5.1,2023,08040,17
9.5.1,2023,08041,13
9.5.1,2023,08042,2
9.5.1,2023,08043,2
9.5.1,2023,08044,7
9.5.1,2023,08045,0
9.5.1,2023,08046,37
9.5.1,2023,08047,8
9.5.1,2023,08048,1
9.5.1,2023,08049,0
9.5.1,2023,08050,0
9.5.1,2023,08051,35
9.5.1,2023,08052,1
9.5.1,2023,08053,3
9.5.1,2023,08054,27
9.5.1,2023,08055,0
9.5.1,2023,08056,175
9.5.1,2023,08058,4
9.5.1,2023,08059,0
9.5.1,2023,08061,3
9.5.1,2023,08062,2
9.5.1,2023,08063,2
9.5.1,2023,08064,3
9.5.1,2023,08065,2
9.5.1,2023,08066,3
9.5.1,2023,08067,13
9.5.1,2023,08068,17
9.5.1,2023,08069,7
9.5.1,2023,08070,1
9.5.1,2023,08071,1
9.5.1,2023,08072,32
9.5.1,2023,08073,220
9.5.1,2023,08074,20
9.5.1,2023,08075,7
9.5.1,2023,08076,42
9.5.1,2023,08077,109
9.5.1,2023,08078,0
9.5.1,2023,08079,0
9.5.1,2023,08081,1
9.5.1,2023,08082,3
9.5.1,2023,08083,4
9.5.1,2023,08084,1
9.5.1,2023,08085,3
9.5.1,2023,08086,49
9.5.1,2023,08087,0
9.5.1,2023,08088,31
9.5.1,2023,08089,109
9.5.1,2023,08090,0
9.5.1,2023,08091,7
9.5.1,2023,08092,7
9.5.1,2023,08094,3
9.5.1,2023,08095,0
9.5.1,2023,08096,200
9.5.1,2023,08097,3
9.5.1,2023,08098,4
9.5.1,2023,08099,0
9.5.1,2023,08100,6
9.5.1,2023,08101,383
9.5.1,2023,08102,144
9.5.1,2023,08103,2
9.5.1,2023,08104,1
9.5.1,2023,08105,15
9.5.1,2023,08106,23
9.5.1,2023,08107,16
9.5.1,2023,08108,12
9.5.1,2023,08109,0
9.5.1,2023,08110,27
9.5.1,2023,08111,0
9.5.1,2023,08112,36
9.5.1,2023,08113,237
9.5.1,2023,08114,62
9.5.1,2023,08115,6
9.5.1,2023,08116,1
9.5.1,2023,08117,8
9.5.1,2023,08118,60
9.5.1,2023,08119,6
9.5.1,2023,08120,18
9.5.1,2023,08121,333
9.5.1,2023,08122,3
9.5.1,2023,08123,65
9.5.1,2023,08124,89
9.5.1,2023,08125,76
9.5.1,2023,08126,29
9.5.1,2023,08127,8
9.5.1,2023,08128,0
9.5.1,2023,08129,1
9.5.1,2023,08130,0
9.5.1,2023,08131,0
9.5.1,2023,08132,1
9.5.1,2023,08133,0
9.5.1,2023,08134,1
9.5.1,2023,08135,14
9.5.1,2023,08136,20
9.5.1,2023,08137,0
9.5.1,2023,08138,14
9.5.1,2023,08139,0
9.5.1,2023,08140,4
9.5.1,2023,08141,11
9.5.1,2023,08142,1
9.5.1,2023,08143,4
9.5.1,2023,08144,1
9.5.1,2023,08145,10
9.5.1,2023,08146,1
9.5.1,2023,08147,34
9.5.1,2023,08148,6
9.5.1,2023,08149,0
9.5.1,2023,08150,0
9.5.1,2023,08151,0
9.5.1,2023,08152,0
9.5.1,2023,08153,0
9.5.1,2023,08154,0
9.5.1,2023,08155,10
9.5.1,2023,08156,29
9.5.1,2023,08157,25
9.5.1,2023,08158,3
9.5.1,2023,08159,51
9.5.1,2023,08160,1
9.5.1,2023,08161,15
9.5.1,2023,08162,3
9.5.1,2023,08163,29
9.5.1,2023,08164,0
9.5.1,2023,08165,2
9.5.1,2023,08166,2
9.5.1,2023,08167,16
9.5.1,2023,08168,0
9.5.1,2023,08169,116
9.5.1,2023,08170,1
9.5.1,2023,08171,9
9.5.1,2023,08172,44
9.5.1,2023,08174,1
9.5.1,2023,08175,5
9.5.1,2023,08176,3
9.5.1,2023,08178,0
9.5.1,2023,08179,0
9.5.1,2023,08180,56
9.5.1,2023,08181,10
9.5.1,2023,08182,2
9.5.1,2023,08183,4
9.5.1,2023,08184,136
9.5.1,2023,08185,1
9.5.1,2023,08187,451
9.5.1,2023,08188,0
9.5.1,2023,08189,0
9.5.1,2023,08190,0
9.5.1,2023,08191,16
9.5.1,2023,08192,19
9.5.1,2023,08193,0
9.5.1,2023,08194,50
9.5.1,2023,08196,46
9.5.1,2023,08197,26
9.5.1,2023,08198,9
9.5.1,2023,08199,2
9.5.1,2023,08200,126
9.5.1,2023,08201,1
9.5.1,2023,08202,37
9.5.1,2023,08203,4
9.5.1,2023,08204,8
9.5.1,2023,08205,609
9.5.1,2023,08206,1
9.5.1,2023,08207,6
9.5.1,2023,08208,20
9.5.1,2023,08209,9
9.5.1,2023,08210,11
9.5.1,2023,08211,92
9.5.1,2023,08212,0
9.5.1,2023,08213,26
9.5.1,2023,08214,33
9.5.1,2023,08215,5
9.5.1,2023,08217,87
9.5.1,2023,08218,13
9.5.1,2023,08219,49
9.5.1,2023,08220,5
9.5.1,2023,08221,103
9.5.1,2023,08222,2
9.5.1,2023,08223,3
9.5.1,2023,08224,0
9.5.1,2023,08225,0
9.5.1,2023,08226,0
9.5.1,2023,08227,3
9.5.1,2023,08228,1
9.5.1,2023,08229,0
