nom,codi,AMB,RMB,zona
"Prats de Rei, els",08170,,,Comarques Centrals
Prats de Lluçanès,08171,,,Comarques Centrals
Premià de Mar,08172,,1,
Puigdàlber,08174,,,Penedès
Puig-reig,08175,,,Comarques Centrals
Pujalt,08176,,,Comarques Centrals
"Quar, la",08177,,,Comarques Centrals
Rajadell,08178,,,Comarques Centrals
Rellinars,08179,,1,Vallès
Ripollet,08180,1,1,Vallès
"Roca del Vallès, la",08181,,1,Vallès
"Pont de Vilomara i Rocafort, el",08182,,,Comarques Centrals
Roda de Ter,08183,,,Comarques Centrals
Rubí,08184,,1,Vallès
Rubió,08185,,,Penedès
Sabadell,08187,,1,Vallès
Sagàs,08188,,,Comarques Centrals
Sant Pere Sallavinera,08189,,,Comarques Centrals
Saldes,08190,,,Comarques Centrals
Sallent,08191,,,Comarques Centrals
Santpedor,08192,,,Comarques Centrals
Sant Iscle de Vallalta,08193,,1,
Sant Adrià de Besòs,08194,1,1,
Sant Agustí de Lluçanès,08195,,,Comarques Centrals
Sant Andreu de la Barca,08196,1,1,
Sant Andreu de Llavaneres,08197,,1,
Sant Antoni de Vilamajor,08198,,1,Vallès
Sant Bartomeu del Grau,08199,,,Comarques Centrals
Sant Boi de Llobregat,08200,1,1,
Sant Boi de Lluçanès,08201,,,Comarques Centrals
Sant Celoni,08202,,1,Vallès
Sant Cebrià de Vallalta,08203,,1,
Sant Climent de Llobregat,08204,1,1,
Sant Cugat del Vallès,08205,1,1,Vallès
Sant Cugat Sesgarrigues,08206,,,Penedès
Sant Esteve de Palautordera,08207,,1,Vallès
Sant Esteve Sesrovires,08208,,1,
Sant Fost de Campsentelles,08209,,1,Vallès
Sant Feliu de Codines,08210,,1,Vallès
Sant Feliu de Llobregat,08211,1,1,
Sant Feliu Sasserra,08212,,,Comarques Centrals
Sant Fruitós de Bages,08213,,,Comarques Centrals
Vilassar de Dalt,08214,,1,
Sant Hipòlit de Voltregà,08215,,,Comarques Centrals
Sant Jaume de Frontanyà,08216,,,Comarques Centrals
Sant Joan Despí,08217,1,1,
Sant Joan de Vilatorrada,08218,,,Comarques Centrals
Vilassar de Mar,08219,,1,
Sant Julià de Vilatorta,08220,,,Comarques Centrals
Sant Just Desvern,08221,1,1,
Sant Llorenç d'Hortons,08222,,,Penedès
Sant Llorenç Savall,08223,,1,Vallès
Sant Martí de Centelles,08224,,,Comarques Centrals
Sant Martí d'Albars,08225,,,Comarques Centrals
Sant Martí de Tous,08226,,,Penedès
Sant Martí Sarroca,08227,,,Penedès
Sant Martí Sesgueioles,08228,,,Comarques Centrals
Sant Mateu de Bages,08229,,,Comarques Centrals
Premià de Dalt,08230,,1,
Sant Pere de Ribes,08231,,,Penedès
Sant Pere de Riudebitlles,08232,,,Penedès
Sant Pere de Torelló,08233,,,Comarques Centrals
Sant Pere de Vilamajor,08234,,1,Vallès
Sant Pol de Mar,08235,,1,
Sant Quintí de Mediona,08236,,,Penedès
Sant Quirze de Besora,08237,,,Comarques Centrals
Sant Quirze del Vallès,08238,,1,Vallès
Sant Quirze Safaja,08239,,,Comarques Centrals
Sant Sadurní d'Anoia,08240,,,Penedès
Sant Sadurní d'Osormort,08241,,,Comarques Centrals
Marganell,08242,,,Comarques Centrals
Santa Cecília de Voltregà,08243,,,Comarques Centrals
Santa Coloma de Cervelló,08244,1,1,
Santa Coloma de Gramenet,08245,1,1,
Santa Eugènia de Berga,08246,,,Comarques Centrals
Santa Eulàlia de Riuprimer,08247,,,Comarques Centrals
Santa Eulàlia de Ronçana,08248,,1,Vallès
Santa Fe del Penedès,08249,,,Penedès
Santa Margarida de Montbui,08250,,,Penedès
Santa Margarida i els Monjos,08251,,,Penedès
Barberà del Vallès,08252,1,1,Vallès
Santa Maria de Besora,08253,,,Comarques Centrals
"Esquirol, l'",08254,,,Comarques Centrals
Santa Maria de Merlès,08255,,,Comarques Centrals
Santa Maria de Martorelles,08256,,1,Vallès
Santa Maria de Miralles,08257,,,Penedès
Santa Maria d'Oló,08258,,,Comarques Centrals
Santa Maria de Palautordera,08259,,1,Vallès
Santa Perpètua de Mogoda,08260,,1,Vallès
Santa Susanna,08261,,1,
Sant Vicenç de Castellet,08262,,,Comarques Centrals
Sant Vicenç dels Horts,08263,1,1,
Sant Vicenç de Montalt,08264,,1,
Sant Vicenç de Torelló,08265,,,Comarques Centrals
Cerdanyola del Vallès,08266,1,1,Vallès
Sentmenat,08267,,1,Vallès
Cercs,08268,,,Comarques Centrals
Seva,08269,,,Comarques Centrals
Sitges,08270,,,Penedès
Sobremunt,08271,,,Comarques Centrals
Sora,08272,,,Comarques Centrals
Subirats,08273,,,Penedès
Súria,08274,,,Comarques Centrals
Tavèrnoles,08275,,,Comarques Centrals
Tagamanent,08276,,1,Vallès
Talamanca,08277,,,Comarques Centrals
Taradell,08278,,,Comarques Centrals
Terrassa,08279,,1,Vallès
Tavertet,08280,,,Comarques Centrals
Teià,08281,,1,
Tiana,08282,1,1,
Tona,08283,,,Comarques Centrals
Tordera,08284,,1,
Torelló,08285,,,Comarques Centrals
"Torre de Claramunt, la",08286,,,Penedès
Torrelavit,08287,,,Penedès
Torrelles de Foix,08288,,,Penedès
Torrelles de Llobregat,08289,1,1,
Ullastrell,08290,,1,Vallès
Vacarisses,08291,,1,Vallès
Vallbona d'Anoia,08292,,,Penedès
Vallcebre,08293,,,Comarques Centrals
Vallgorguina,08294,,1,Vallès
Vallirana,08295,,1,
Vallromanes,08296,,1,Vallès
Veciana,08297,,,Comarques Centrals
Vic,08298,,,Comarques Centrals
Vilada,08299,,,Comarques Centrals
Viladecavalls,08300,,1,Vallès
Viladecans,08301,1,1,
Vilanova del Camí,08302,,,Penedès
Vilanova de Sau,08303,,,Comarques Centrals
Vilobí del Penedès,08304,,,Penedès
Vilafranca del Penedès,08305,,,Penedès
Vilalba Sasserra,08306,,1,Vallès
Vilanova i la Geltrú,08307,,,Penedès
Viver i Serrateix,08308,,,Comarques Centrals
Rupit i Pruit,08901,,,Comarques Centrals
Vilanova del Vallès,08902,,1,Vallès
Sant Julià de Cerdanyola,08903,,,Comarques Centrals
Badia del Vallès,08904,1,1,Vallès
"Palma de Cervelló, la",08905,1,1,
