codi_municipi,any,valor_final
08001,2021,"15,00"
08002,2021,"9,00"
08003,2021,"15,00"
08004,2021,"0,00"
08005,2021,"3,00"
08006,2021,"75,00"
08007,2021,"19,00"
08008,2021,"0,00"
08009,2021,"50,00"
08010,2021,"824,00"
08011,2021,"6,00"
08012,2021,"18,00"
08013,2021,"4,00"
08014,2021,"0,00"
08015,2021,"667,00"
08016,2021,"6,00"
08017,2021,"22,00"
08018,2021,"16,00"
08019,2021,"170.788,00"
08020,2021,"3,00"
08021,2021,"0,00"
08022,2021,"113,00"
08023,2021,"16,00"
08024,2021,"0,00"
08025,2021,"0,00"
08026,2021,"3,00"
08027,2021,"3,00"
08028,2021,"0,00"
08029,2021,"164,00"
08030,2021,"0,00"
08031,2021,"0,00"
08032,2021,"0,00"
08033,2021,"2.205,00"
08034,2021,"3,00"
08035,2021,"633,00"
08036,2021,"0,00"
08037,2021,"6,00"
08038,2021,"6,00"
08039,2021,"0,00"
08040,2021,"46,00"
08041,2021,"6,00"
08042,2021,"4,00"
08043,2021,"13,00"
08044,2021,"10,00"
08045,2021,"0,00"
08046,2021,"29,00"
08047,2021,"521,00"
08048,2021,"0,00"
08049,2021,"7,00"
08050,2021,"0,00"
08051,2021,"30,00"
08052,2021,"0,00"
08053,2021,"6,00"
08054,2021,"133,00"
08055,2021,"0,00"
08056,2021,"93,00"
08057,2021,"0,00"
08058,2021,"3,00"
08059,2021,"0,00"
08060,2021,"0,00"
08061,2021,"0,00"
08062,2021,"3,00"
08063,2021,"3,00"
08064,2021,"0,00"
08065,2021,"3,00"
08066,2021,"0,00"
08067,2021,"10,00"
08068,2021,"20,00"
08069,2021,"0,00"
08070,2021,"0,00"
08071,2021,"6,00"
08072,2021,"12,00"
08073,2021,"221,00"
08074,2021,"8,00"
08075,2021,"20,00"
08076,2021,"108,00"
08077,2021,"82,00"
08078,2021,"0,00"
08079,2021,"0,00"
08080,2021,"0,00"
08081,2021,"0,00"
08082,2021,"0,00"
08083,2021,"7,00"
08084,2021,"53,00"
08085,2021,"0,00"
08086,2021,"712,00"
08087,2021,"0,00"
08088,2021,"19,00"
08089,2021,"275,00"
08090,2021,"0,00"
08091,2021,"14,00"
08092,2021,"11,00"
08093,2021,"0,00"
08094,2021,"200,00"
08095,2021,"0,00"
08096,2021,"137,00"
08097,2021,"0,00"
08098,2021,"13,00"
08099,2021,"4,00"
08100,2021,"17,00"
08101,2021,"680,00"
08102,2021,"427,00"
08103,2021,"5,00"
08104,2021,"0,00"
08105,2021,"10,00"
08106,2021,"56,00"
08107,2021,"45,00"
08108,2021,"3,00"
08109,2021,"4,00"
08110,2021,"54,00"
08111,2021,"5,00"
08112,2021,"329,00"
08113,2021,"1.321,00"
08114,2021,"137,00"
08115,2021,"6,00"
08116,2021,"0,00"
08117,2021,"3,00"
08118,2021,"47,00"
08119,2021,"5,00"
08120,2021,"2,00"
08121,2021,"4.190,00"
08122,2021,"8,00"
08123,2021,"70,00"
08124,2021,"149,00"
08125,2021,"128,00"
08126,2021,"16,00"
08127,2021,"3,00"
08128,2021,"0,00"
08129,2021,"5,00"
08130,2021,"0,00"
08131,2021,"5,00"
08132,2021,"0,00"
08133,2021,"0,00"
08134,2021,"0,00"
08135,2021,"51,00"
08136,2021,"40,00"
08137,2021,"0,00"
08138,2021,"81,00"
08139,2021,"5,00"
08140,2021,"14,00"
08141,2021,"16,00"
08142,2021,"0,00"
08143,2021,"43,00"
08144,2021,"11,00"
08145,2021,"97,00"
08146,2021,"0,00"
08147,2021,"5.479,00"
08148,2021,"115,00"
08149,2021,"0,00"
08150,2021,"0,00"
08151,2021,"0,00"
08152,2021,"0,00"
08153,2021,"9,00"
08154,2021,"10,00"
08155,2021,"21,00"
08156,2021,"59,00"
08157,2021,"70,00"
08158,2021,"11,00"
08159,2021,"914,00"
08160,2021,"0,00"
08161,2021,"28,00"
08162,2021,"5,00"
08163,2021,"39,00"
08164,2021,"5,00"
08165,2021,"0,00"
08166,2021,"0,00"
08167,2021,"68,00"
08168,2021,"0,00"
08169,2021,"1.513,00"
08170,2021,"0,00"
08171,2021,"21,00"
08172,2021,"50,00"
08174,2021,"4,00"
08175,2021,"28,00"
08176,2021,"3,00"
08177,2021,"0,00"
08178,2021,"43,00"
08179,2021,"0,00"
08180,2021,"230,00"
08181,2021,"33,00"
08182,2021,"7,00"
08183,2021,"9,00"
08184,2021,"197,00"
08185,2021,"0,00"
08187,2021,"704,00"
08188,2021,"0,00"
08189,2021,"0,00"
08190,2021,"8,00"
08191,2021,"40,00"
08192,2021,"226,00"
08193,2021,"3,00"
08194,2021,"166,00"
08195,2021,"0,00"
08196,2021,"98,00"
08197,2021,"10,00"
08198,2021,"28,00"
08199,2021,"0,00"
08200,2021,"2.694,00"
08201,2021,"12,00"
08202,2021,"31,00"
08203,2021,"123,00"
08204,2021,"7,00"
08205,2021,"394,00"
08206,2021,"6,00"
08207,2021,"6,00"
08208,2021,"0,00"
08209,2021,"28,00"
08210,2021,"23,00"
08211,2021,"106,00"
08212,2021,"7,00"
08213,2021,"281,00"
08214,2021,"121,00"
08215,2021,"5,00"
08216,2021,"0,00"
08217,2021,"158,00"
08218,2021,"12,00"
08219,2021,"96,00"
08220,2021,"0,00"
08221,2021,"20,00"
08222,2021,"4,00"
08223,2021,"3,00"
08224,2021,"3,00"
08225,2021,"8,00"
08226,2021,"250,00"
08227,2021,"9,00"
08228,2021,"0,00"
08229,2021,"0,00"
08230,2021,"123,00"
08231,2021,"931,00"
08232,2021,"15,00"
08233,2021,"155,00"
08234,2021,"3,00"
08235,2021,"55,00"
08236,2021,"3,00"
08237,2021,"4,00"
08238,2021,"40,00"
08239,2021,"0,00"
08240,2021,"12,00"
08241,2021,"0,00"
08242,2021,"0,00"
08243,2021,"0,00"
08244,2021,"18,00"
08245,2021,"460,00"
08246,2021,"0,00"
08247,2021,"10,00"
08248,2021,"49,00"
08249,2021,"0,00"
08250,2021,"13,00"
08251,2021,"33,00"
08252,2021,"176,00"
08253,2021,"0,00"
08254,2021,"0,00"
08255,2021,"0,00"
08256,2021,"2,00"
08257,2021,"3,00"
08258,2021,"19,00"
08259,2021,"15,00"
08260,2021,"75,00"
08261,2021,"6,00"
08262,2021,"52,00"
08263,2021,"102,00"
08264,2021,"5,00"
08265,2021,"10,00"
08266,2021,"86,00"
