codi_indicador,any,codi_municipi,valor_final,valor_numerador,valor_denominador
14.2.1,2018,08001,"0,00",,
14.2.1,2018,08002,"0,00",,
14.2.1,2018,08003,"0,00",,
14.2.1,2018,08004,"0,00",,
14.2.1,2018,08005,"0,00",,
14.2.1,2018,08006,"0,41",,
14.2.1,2018,08007,"0,00",,
14.2.1,2018,08008,"0,00",,
14.2.1,2018,08009,"0,00",,
14.2.1,2018,08010,"0,00",,
14.2.1,2018,08011,"0,00",,
14.2.1,2018,08012,"0,00",,
14.2.1,2018,08013,"0,00",,
14.2.1,2018,08014,"0,00",,
14.2.1,2018,08015,"0,02",,
14.2.1,2018,08016,"0,00",,
14.2.1,2018,08017,"0,00",,
14.2.1,2018,08018,"0,00",,
14.2.1,2018,08019,"0,00",,
14.2.1,2018,08020,"0,00",,
14.2.1,2018,08021,"0,00",,
14.2.1,2018,08022,"0,00",,
14.2.1,2018,08023,"0,00",,
14.2.1,2018,08024,"0,00",,
14.2.1,2018,08025,"0,00",,
14.2.1,2018,08026,"0,00",,
14.2.1,2018,08027,"0,00",,
14.2.1,2018,08028,"0,00",,
14.2.1,2018,08029,"0,29",,
14.2.1,2018,08030,"0,00",,
14.2.1,2018,08031,"0,00",,
14.2.1,2018,08032,"0,00",,
14.2.1,2018,08033,"0,00",,
14.2.1,2018,08034,"0,00",,
14.2.1,2018,08035,"0,08",,
14.2.1,2018,08036,"0,00",,
14.2.1,2018,08037,"0,00",,
14.2.1,2018,08038,"0,00",,
14.2.1,2018,08039,"0,00",,
14.2.1,2018,08040,"0,10",,
14.2.1,2018,08041,"0,00",,
14.2.1,2018,08042,"0,00",,
14.2.1,2018,08043,"0,00",,
14.2.1,2018,08044,"0,00",,
14.2.1,2018,08045,"0,00",,
14.2.1,2018,08046,"0,00",,
14.2.1,2018,08047,"0,00",,
14.2.1,2018,08048,"0,00",,
14.2.1,2018,08049,"0,00",,
14.2.1,2018,08050,"0,00",,
14.2.1,2018,08051,"0,00",,
14.2.1,2018,08052,"0,00",,
14.2.1,2018,08053,"0,00",,
14.2.1,2018,08054,"0,00",,
14.2.1,2018,08055,"0,00",,
14.2.1,2018,08056,"0,00",,
14.2.1,2018,08057,"0,00",,
14.2.1,2018,08058,"0,00",,
14.2.1,2018,08059,"0,00",,
14.2.1,2018,08060,"0,00",,
14.2.1,2018,08061,"0,00",,
14.2.1,2018,08062,"0,00",,
14.2.1,2018,08063,"0,00",,
14.2.1,2018,08064,"0,00",,
14.2.1,2018,08065,"0,00",,
14.2.1,2018,08066,"0,00",,
14.2.1,2018,08067,"0,00",,
14.2.1,2018,08068,"0,00",,
14.2.1,2018,08069,"0,00",,
14.2.1,2018,08070,"0,00",,
14.2.1,2018,08071,"0,00",,
14.2.1,2018,08072,"0,00",,
14.2.1,2018,08073,"0,00",,
14.2.1,2018,08074,"0,05",,
14.2.1,2018,08075,"0,00",,
14.2.1,2018,08076,"0,00",,
14.2.1,2018,08077,"0,00",,
14.2.1,2018,08078,"0,00",,
14.2.1,2018,08079,"0,00",,
14.2.1,2018,08080,"0,00",,
14.2.1,2018,08081,"0,00",,
14.2.1,2018,08082,"0,00",,
14.2.1,2018,08083,"0,00",,
14.2.1,2018,08084,"0,00",,
14.2.1,2018,08085,"0,00",,
14.2.1,2018,08086,"0,00",,
14.2.1,2018,08087,"0,00",,
14.2.1,2018,08088,"0,00",,
14.2.1,2018,08089,"0,02",,
14.2.1,2018,08090,"0,00",,
14.2.1,2018,08091,"0,00",,
14.2.1,2018,08092,"0,00",,
14.2.1,2018,08093,"0,00",,
14.2.1,2018,08094,"0,00",,
14.2.1,2018,08095,"0,00",,
14.2.1,2018,08096,"0,00",,
14.2.1,2018,08097,"0,00",,
14.2.1,2018,08098,"0,00",,
14.2.1,2018,08099,"0,00",,
14.2.1,2018,08100,"0,00",,
14.2.1,2018,08101,"0,00",,
14.2.1,2018,08102,"0,00",,
14.2.1,2018,08103,"0,00",,
14.2.1,2018,08104,"0,00",,
14.2.1,2018,08105,"0,00",,
14.2.1,2018,08106,"0,00",,
14.2.1,2018,08107,"0,00",,
14.2.1,2018,08108,"0,00",,
14.2.1,2018,08109,"0,00",,
14.2.1,2018,08110,"0,34",,
14.2.1,2018,08111,"0,00",,
14.2.1,2018,08112,"0,00",,
14.2.1,2018,08113,"0,00",,
14.2.1,2018,08114,"0,00",,
14.2.1,2018,08115,"0,00",,
14.2.1,2018,08116,"0,00",,
14.2.1,2018,08117,"0,00",,
14.2.1,2018,08118,"0,08",,
14.2.1,2018,08119,"0,00",,
14.2.1,2018,08120,"0,00",,
14.2.1,2018,08121,"0,21",,
14.2.1,2018,08122,"0,00",,
14.2.1,2018,08123,"0,00",,
14.2.1,2018,08124,"0,00",,
14.2.1,2018,08125,"0,00",,
14.2.1,2018,08126,"0,11",,
14.2.1,2018,08127,"0,00",,
14.2.1,2018,08128,"0,00",,
14.2.1,2018,08129,"0,00",,
14.2.1,2018,08130,"0,00",,
14.2.1,2018,08131,"0,00",,
14.2.1,2018,08132,"0,00",,
14.2.1,2018,08133,"0,00",,
14.2.1,2018,08134,"0,00",,
14.2.1,2018,08135,"0,00",,
14.2.1,2018,08136,"0,00",,
14.2.1,2018,08137,"0,00",,
14.2.1,2018,08138,"0,00",,
14.2.1,2018,08139,"0,00",,
14.2.1,2018,08140,"0,00",,
14.2.1,2018,08141,"0,00",,
14.2.1,2018,08142,"0,00",,
14.2.1,2018,08143,"0,00",,
14.2.1,2018,08144,"0,00",,
14.2.1,2018,08145,"0,00",,
14.2.1,2018,08146,"0,00",,
14.2.1,2018,08147,"0,00",,
14.2.1,2018,08148,"0,00",,
14.2.1,2018,08149,"0,00",,
14.2.1,2018,08150,"0,00",,
