nom,codi,comarca,zona,rural,any
Santa Maria d’Oló,08258,Moianès,Catalunya Central,Rural EA,2025
Sora,08272,Osona,Catalunya Central,Rural EA,2025
Talamanca,08277,Bages,Catalunya Central,Rural EA,2025
Tavèrnoles,08275,Osona,Catalunya Central,Rural EA,2025
Veciana,08297,Anoia,Catalunya Central,Rural EA,2025
Vilada,08299,Berguedà,Catalunya Central,Rural EA,2025
Òrrius,08153,Maresme,Barcelona,Incorporat,2025
Sant Iscle de Vallalta,08193,Maresme,Barcelona,Incorporat,2025
Santa Maria de Martorelles,08256,Vallès Oriental,Barcelona,Incorporat,2025
Vilalba Sasserra,08306,Vallès Oriental,Barcelona,Incorporat,2025
,08001,,,No rural,2025
,08003,,,No rural,2025
,08005,,,No rural,2025
,08006,,,No rural,2025
,08007,,,No rural,2025
,08009,,,No rural,2025
,08010,,,No rural,2025
,08014,,,No rural,2025
,08015,,,No rural,2025
,08017,,,No rural,2025
,08018,,,No rural,2025
,08019,,,No rural,2025
,08020,,,No rural,2025
,08022,,,No rural,2025
,08023,,,No rural,2025
,08025,,,No rural,2025
,08026,,,No rural,2025
,08027,,,No rural,2025
,08029,,,No rural,2025
,08030,,,No rural,2025
,08031,,,No rural,2025
,08032,,,No rural,2025
,08033,,,No rural,2025
,08035,,,No rural,2025
,08037,,,No rural,2025
,08038,,,No rural,2025
,08040,,,No rural,2025
,08041,,,No rural,2025
,08042,,,No rural,2025
,08043,,,No rural,2025
,08044,,,No rural,2025
,08046,,,No rural,2025
,08047,,,No rural,2025
,08051,,,No rural,2025
,08053,,,No rural,2025
,08054,,,No rural,2025
,08056,,,No rural,2025
,08058,,,No rural,2025
,08061,,,No rural,2025
,08064,,,No rural,2025
,08066,,,No rural,2025
,08067,,,No rural,2025
,08068,,,No rural,2025
,08069,,,No rural,2025
,08072,,,No rural,2025
,08073,,,No rural,2025
,08074,,,No rural,2025
,08075,,,No rural,2025
,08076,,,No rural,2025
,08077,,,No rural,2025
,08078,,,No rural,2025
,08079,,,No rural,2025
,08083,,,No rural,2025
,08086,,,No rural,2025
,08088,,,No rural,2025
,08089,,,No rural,2025
,08091,,,No rural,2025
,08092,,,No rural,2025
