codi_indicador,any,codi_municipi,valor_final,valor_numerador,valor_denominador
13.2.2,2005,08001,"0,34",,
13.2.2,2005,08002,"0,28",,
13.2.2,2005,08003,"0,28",,
13.2.2,2005,08004,"0,27",,
13.2.2,2005,08005,"0,31",,
13.2.2,2005,08006,"0,30",,
13.2.2,2005,08007,"0,28",,
13.2.2,2005,08008,"0,30",,
13.2.2,2005,08009,"0,28",,
13.2.2,2005,08010,"0,30",,
13.2.2,2005,08011,"0,20",,
13.2.2,2005,08012,"0,28",,
13.2.2,2005,08013,"0,28",,
13.2.2,2005,08014,"0,27",,
13.2.2,2005,08015,"0,29",,
13.2.2,2005,08016,"0,21",,
13.2.2,2005,08017,"0,27",,
13.2.2,2005,08018,"0,24",,
13.2.2,2005,08019,"0,31",,
13.2.2,2005,08020,"0,29",,
13.2.2,2005,08021,"0,27",,
13.2.2,2005,08022,"0,25",,
13.2.2,2005,08023,"0,28",,
13.2.2,2005,08024,"0,27",,
13.2.2,2005,08025,"0,29",,
13.2.2,2005,08026,"0,30",,
13.2.2,2005,08027,"0,30",,
13.2.2,2005,08028,"0,27",,
13.2.2,2005,08029,"0,30",,
13.2.2,2005,08030,"0,28",,
13.2.2,2005,08031,"0,29",,
13.2.2,2005,08032,"0,29",,
13.2.2,2005,08033,"0,29",,
13.2.2,2005,08034,"0,22",,
13.2.2,2005,08035,"0,31",,
13.2.2,2005,08036,"0,27",,
13.2.2,2005,08037,"0,27",,
13.2.2,2005,08038,"0,24",,
13.2.2,2005,08039,"0,30",,
13.2.2,2005,08040,"0,29",,
13.2.2,2005,08041,"0,29",,
13.2.2,2005,08042,"0,28",,
13.2.2,2005,08043,"0,30",,
13.2.2,2005,08044,"0,29",,
13.2.2,2005,08045,"0,26",,
13.2.2,2005,08046,"0,29",,
13.2.2,2005,08047,"0,26",,
13.2.2,2005,08048,"0,30",,
13.2.2,2005,08049,"0,20",,
13.2.2,2005,08050,"0,30",,
13.2.2,2005,08051,"0,29",,
13.2.2,2005,08052,"0,07",,
13.2.2,2005,08053,"0,19",,
13.2.2,2005,08054,"0,31",,
13.2.2,2005,08055,"0,27",,
13.2.2,2005,08056,"0,30",,
13.2.2,2005,08057,"0,26",,
13.2.2,2005,08058,"0,31",,
13.2.2,2005,08059,"0,27",,
13.2.2,2005,08060,"0,28",,
13.2.2,2005,08061,"0,20",,
13.2.2,2005,08062,"0,27",,
13.2.2,2005,08063,"0,29",,
13.2.2,2005,08064,"0,27",,
13.2.2,2005,08065,"0,28",,
13.2.2,2005,08066,"0,30",,
13.2.2,2005,08067,"0,28",,
13.2.2,2005,08068,"0,29",,
13.2.2,2005,08069,"0,27",,
13.2.2,2005,08070,"0,27",,
13.2.2,2005,08071,"0,27",,
13.2.2,2005,08072,"0,30",,
13.2.2,2005,08073,"0,32",,
13.2.2,2005,08074,"0,31",,
13.2.2,2005,08075,"0,29",,
13.2.2,2005,08076,"0,26",,
13.2.2,2005,08077,"0,30",,
13.2.2,2005,08078,"0,27",,
13.2.2,2005,08079,"0,28",,
13.2.2,2005,08080,"0,26",,
13.2.2,2005,08081,"0,29",,
13.2.2,2005,08082,"0,30",,
13.2.2,2005,08083,"0,28",,
13.2.2,2005,08084,"0,28",,
13.2.2,2005,08085,"0,27",,
13.2.2,2005,08086,"0,32",,
13.2.2,2005,08087,"0,27",,
13.2.2,2005,08088,"0,29",,
13.2.2,2005,08089,"0,31",,
13.2.2,2005,08090,"0,29",,
13.2.2,2005,08091,"0,32",,
13.2.2,2005,08092,"0,24",,
13.2.2,2005,08093,"0,26",,
13.2.2,2005,08094,"0,31",,
13.2.2,2005,08095,"0,27",,
13.2.2,2005,08096,"0,30",,
13.2.2,2005,08097,"0,15",,
13.2.2,2005,08098,"0,28",,
13.2.2,2005,08099,"0,25",,
13.2.2,2005,08100,"0,30",,
13.2.2,2005,08101,"0,31",,
13.2.2,2005,08102,"0,29",,
13.2.2,2005,08103,"0,29",,
13.2.2,2005,08104,"0,28",,
13.2.2,2005,08105,"0,29",,
13.2.2,2005,08106,"0,29",,
13.2.2,2005,08107,"0,29",,
13.2.2,2005,08108,"0,31",,
13.2.2,2005,08109,"0,27",,
13.2.2,2005,08110,"0,30",,
13.2.2,2005,08111,"0,33",,
13.2.2,2005,08112,"0,28",,
13.2.2,2005,08113,"0,28",,
13.2.2,2005,08114,"0,28",,
13.2.2,2005,08115,"0,31",,
13.2.2,2005,08116,"0,34",,
13.2.2,2005,08117,"0,26",,
13.2.2,2005,08118,"0,29",,
13.2.2,2005,08119,"0,28",,
13.2.2,2005,08120,"0,28",,
13.2.2,2005,08121,"0,30",,
13.2.2,2005,08122,"0,30",,
