any,codi_municipi,valor_final
2019,08001,1
2019,08002,0
2019,08003,1
2019,08004,0
2019,08005,1
2019,08006,0
2019,08007,0
2019,08008,0
2019,08009,1
2019,08010,0
2019,08011,0
2019,08012,0
2019,08013,0
2019,08014,0
2019,08015,1
2019,08016,0
2019,08017,1
2019,08018,0
2019,08019,1
2019,08020,1
2019,08021,0
2019,08022,1
2019,08023,0
2019,08024,0
2019,08025,1
2019,08026,0
2019,08027,0
2019,08028,0
2019,08029,0
2019,08030,1
2019,08031,1
2019,08032,1
2019,08033,0
2019,08034,1
2019,08035,1
2019,08036,0
2019,08037,1
2019,08038,0
2019,08039,0
2019,08040,1
2019,08041,1
2019,08042,0
2019,08043,0
2019,08044,0
2019,08045,0
2019,08046,1
2019,08047,1
2019,08048,0
2019,08049,0
2019,08050,0
2019,08051,1
2019,08052,1
2019,08053,0
2019,08054,1
2019,08055,0
2019,08056,1
2019,08057,0
2019,08058,0
2019,08059,0
2019,08060,0
2019,08061,0
2019,08062,0
2019,08063,0
2019,08064,0
2019,08065,0
2019,08066,1
2019,08067,1
2019,08068,1
2019,08069,0
2019,08070,1
2019,08071,1
2019,08072,1
2019,08073,1
2019,08074,0
2019,08075,0
2019,08076,1
2019,08077,1
2019,08078,0
2019,08079,1
2019,08080,0
2019,08081,0
2019,08082,0
2019,08083,0
2019,08084,1
2019,08085,1
2019,08086,0
2019,08087,0
2019,08088,0
2019,08089,1
2019,08090,0
2019,08091,0
2019,08092,1
2019,08093,0
2019,08094,0
2019,08095,0
2019,08096,1
2019,08097,0
2019,08098,0
2019,08099,0
2019,08100,0
2019,08101,1
2019,08102,1
2019,08103,0
2019,08104,0
2019,08105,0
2019,08106,1
2019,08107,1
2019,08108,0
2019,08109,0
2019,08110,1
2019,08111,0
2019,08112,1
2019,08113,1
2019,08114,1
2019,08115,1
2019,08116,1
2019,08117,1
2019,08118,1
2019,08119,1
2019,08120,1
2019,08121,1
2019,08122,0
2019,08123,1
2019,08124,1
2019,08125,1
2019,08126,1
2019,08127,0
2019,08128,0
2019,08129,0
2019,08130,0
2019,08131,0
2019,08132,0
2019,08133,0
2019,08134,1
2019,08135,1
2019,08136,0
2019,08137,0
2019,08138,1
2019,08139,0
2019,08140,0
2019,08141,0
2019,08142,0
2019,08143,0
2019,08144,0
2019,08145,1
2019,08146,1
2019,08147,1
2019,08148,1
2019,08149,1
2019,08150,1
2019,08151,0
2019,08152,0
2019,08153,0
2019,08154,1
2019,08155,0
2019,08156,1
2019,08157,1
2019,08158,0
2019,08159,1
2019,08160,0
2019,08161,0
2019,08162,0
2019,08163,0
2019,08164,0
2019,08165,0
2019,08166,0
2019,08167,1
2019,08168,0
2019,08169,1
2019,08170,0
2019,08171,0
2019,08172,1
2019,08174,0
2019,08175,0
2019,08176,0
2019,08177,0
2019,08178,1
2019,08179,1
2019,08180,1
2019,08181,1
2019,08182,1
2019,08183,1
2019,08184,1
2019,08185,0
2019,08187,1
2019,08188,0
2019,08189,0
2019,08190,0
2019,08191,1
2019,08192,0
2019,08193,0
2019,08194,0
2019,08195,0
2019,08196,1
2019,08197,1
2019,08198,0
2019,08199,0
2019,08200,1
2019,08201,0
2019,08202,1
2019,08203,0
2019,08204,1
2019,08205,1
2019,08206,0
2019,08207,0
2019,08208,0
2019,08209,1
2019,08210,0
2019,08211,1
2019,08212,0
2019,08213,0
2019,08214,0
2019,08215,1
2019,08216,0
2019,08217,0
2019,08218,0
2019,08219,1
2019,08220,1
2019,08221,1
2019,08222,0
2019,08223,1
2019,08224,0
2019,08225,0
2019,08226,0
2019,08227,0
2019,08228,0
2019,08229,0
2019,08230,1
2019,08231,0
2019,08232,0
2019,08233,1
2019,08234,1
2019,08235,1
2019,08236,1
2019,08237,1
2019,08238,1
2019,08239,0
2019,08240,0
2019,08241,0
2019,08242,0
2019,08243,0
2019,08244,1
2019,08245,1
2019,08246,1
2019,08247,0
2019,08248,1
2019,08249,0
2019,08250,1
2019,08251,1
2019,08252,1
2019,08253,0
2019,08254,1
2019,08255,0
2019,08256,0
2019,08257,1
2019,08258,0
2019,08259,1
2019,08260,1
2019,08261,0
2019,08262,1
2019,08263,0
2019,08264,0
2019,08265,1
2019,08266,1
2019,08267,1
2019,08268,0
2019,08269,0
2019,08270,1
2019,08271,0
2019,08272,1
2019,08273,0
2019,08274,1
2019,08275,1
2019,08276,0
2019,08277,0
2019,08278,1
2019,08279,1
2019,08280,0
2019,08281,1
2019,08282,1
2019,08283,1
2019,08284,0
2019,08285,1
2019,08286,1
2019,08287,0
2019,08288,0
2019,08289,1
2019,08290,1
2019,08291,0
2019,08292,0
2019,08293,0
2019,08294,0
2019,08295,1
2019,08296,0
2019,08297,0
2019,08298,1
2019,08299,0
2019,08300,1
2019,08301,1
2019,08302,1
2019,08303,0
2019,08304,1
2019,08305,1
2019,08306,1
2019,08307,1
2019,08308,0
2019,08901,0
2019,08902,0
2019,08903,0
2019,08904,0
2019,08905,0
2020,08001,0
2020,08002,0
2020,08003,1
2020,08004,0
2020,08005,0
2020,08006,1
2020,08007,1
2020,08008,0
2020,08009,1
2020,08010,1
2020,08011,0
2020,08012,1
2020,08013,0
2020,08014,0
2020,08015,1
2020,08016,0
2020,08017,1
2020,08018,0
2020,08019,1
2020,08020,0
2020,08021,0
2020,08022,1
2020,08023,0
2020,08024,0
2020,08025,0
2020,08026,1
2020,08027,0
2020,08028,0
2020,08029,0
2020,08030,1
2020,08031,1
2020,08032,0
2020,08033,0
2020,08034,0
2020,08035,1
2020,08036,0
2020,08037,1
2020,08038,0
2020,08039,0
2020,08040,0
2020,08041,1
2020,08042,1
2020,08043,1
2020,08044,0
2020,08045,0
2020,08046,0
2020,08047,0
2020,08048,0
2020,08049,1
2020,08050,0
2020,08051,1
2020,08052,0
2020,08053,0
2020,08054,1
2020,08055,0
2020,08056,1
2020,08057,0
2020,08058,0
2020,08059,0
2020,08060,0
2020,08061,0
2020,08062,0
2020,08063,0
2020,08064,0
2020,08065,1
2020,08066,1
2020,08067,1
2020,08068,1
2020,08069,0
2020,08070,1
2020,08071,0
2020,08072,0
2020,08073,1
2020,08074,0
2020,08075,0
2020,08076,1
2020,08077,0
2020,08078,0
2020,08079,1
2020,08080,1
2020,08081,0
2020,08082,1
2020,08083,0
2020,08084,0
2020,08085,0
2020,08086,1
2020,08087,0
2020,08088,1
2020,08089,1
2020,08090,0
2020,08091,0
2020,08092,1
2020,08093,0
2020,08094,0
2020,08095,0
2020,08096,1
2020,08097,0
2020,08098,0
2020,08099,0
2020,08100,1
2020,08101,1
2020,08102,1
2020,08103,0
2020,08104,0
2020,08105,1
2020,08106,0
2020,08107,1
2020,08108,0
2020,08109,0
2020,08110,1
2020,08111,0
2020,08112,1
2020,08113,1
2020,08114,0
2020,08115,1
2020,08116,0
2020,08117,0
2020,08118,0
2020,08119,0
2020,08120,1
2020,08121,1
2020,08122,0
2020,08123,1
2020,08124,1
2020,08125,1
2020,08126,1
2020,08127,0
2020,08128,0
2020,08129,0
2020,08130,0
2020,08131,0
2020,08132,0
2020,08133,0
2020,08134,0
2020,08135,1
2020,08136,0
2020,08137,0
2020,08138,0
2020,08139,0
2020,08140,0
2020,08141,0
2020,08142,0
2020,08143,0
2020,08144,0
2020,08145,1
2020,08146,0
2020,08147,0
2020,08148,1
2020,08149,1
2020,08150,0
2020,08151,0
2020,08152,0
2020,08153,0
2020,08154,1
2020,08155,0
2020,08156,0
2020,08157,0
2020,08158,0
2020,08159,1
2020,08160,0
2020,08161,1
2020,08162,0
2020,08163,0
2020,08164,1
2020,08165,0
2020,08166,0
2020,08167,0
2020,08168,0
2020,08169,1
2020,08170,1
2020,08171,1
2020,08172,0
2020,08174,0
2020,08175,0
2020,08176,0
2020,08177,1
2020,08178,0
2020,08179,0
2020,08180,1
2020,08181,1
2020,08182,0
2020,08183,0
2020,08184,1
2020,08185,0
2020,08187,1
2020,08188,0
2020,08189,0
2020,08190,0
2020,08191,0
2020,08192,0
2020,08193,0
2020,08194,1
2020,08195,0
2020,08196,1
2020,08197,0
2020,08198,0
2020,08199,0
2020,08200,1
2020,08201,0
2020,08202,0
2020,08203,0
2020,08204,1
2020,08205,1
2020,08206,1
2020,08207,0
2020,08208,1
2020,08209,0
2020,08210,1
2020,08211,1
2020,08212,0
2020,08213,1
2020,08214,0
2020,08215,1
2020,08216,0
2020,08217,1
2020,08218,0
2020,08219,1
2020,08220,0
2020,08221,1
2020,08222,0
2020,08223,0
2020,08224,0
2020,08225,0
2020,08226,0
2020,08227,0
2020,08228,0
2020,08229,1
2020,08230,1
2020,08231,0
2020,08232,0
2020,08233,0
2020,08234,0
2020,08235,1
2020,08236,0
2020,08237,1
2020,08238,0
2020,08239,0
2020,08240,0
2020,08241,0
2020,08242,0
