nom,codi,industrial
Sant Fruitós de Bages,08213,1
"Prats de Rei, els",08170,1
Sallent,08191,1
Sant Cebrià de Vallalta,08203,1
Torrelles de Foix,08288,1
Rubí,08184,1
Viladecavalls,08300,1
Sant Vicenç dels Horts,08263,1
Marganell,08242,1
Aiguafreda,08014,1
Fogars de la Selva,08082,1
Santa Fe del Penedès,08249,1
Santpedor,08192,1
Sant Sadurní d'Anoia,08240,1
Llinars del Vallès,08106,1
Sant Andreu de la Barca,08196,1
Abrera,08001,1
Folgueroles,08083,1
Parets del Vallès,08159,1
Capellades,08044,1
"Cabanyes, les",08027,1
Centelles,08067,1
Sant Iscle de Vallalta,08193,1
Sant Martí de Centelles,08224,1
"Franqueses del Vallès, les",08086,1
Sant Cugat Sesgarrigues,08206,1
Santa Perpètua de Mogoda,08260,1
Vacarisses,08291,1
Olvan,08144,1
Montmeló,08135,1
Argentona,08009,1
Sant Vicenç de Castellet,08262,1
Sant Esteve Sesrovires,08208,1
"Llagosta, la",08105,1
Navarcles,08140,1
Sora,08272,1
Castellet i la Gornal,08058,1
Barberà del Vallès,08252,1
Montornès del Vallès,08136,1
Gualba,08097,1
Sant Llorenç d'Hortons,08222,1
Alpens,08004,1
Puig-reig,08175,1
Sant Feliu Sasserra,08212,1
Perafita,08160,1
Artés,08010,1
Orpí,08152,1
Torelló,08285,1
Avinyó,08012,1
Seva,08269,1
Castellbisbal,08054,1
Òdena,08143,1
Torrelavit,08287,1
Sentmenat,08267,1
Vallbona d'Anoia,08292,1
"Torre de Claramunt, la",08286,1
Polinyà,08167,1
Orís,08150,1
Lliçà de Vall,08108,1
Sant Salvador de Guardiola,08098,1
Puigdàlber,08174,1
Sant Pere de Riudebitlles,08232,1
Castellcir,08055,1
Súria,08274,1
Sant Pere Sallavinera,08189,1
Santa Margarida i els Monjos,08251,1
Sant Quintí de Mediona,08236,1
Martorelles,08115,1
Castellgalí,08061,1
Sant Quirze de Besora,08237,1
Olost,08149,1
Santa Maria d'Oló,08258,1
Gurb,08100,1
Balsareny,08018,1
Vilobí del Penedès,08304,1
Pacs del Penedès,08154,1
Sant Pere de Torelló,08233,1
"Pobla de Claramunt, la",08165,1
"Esquirol, l'",08254,1
Sant Vicenç de Torelló,08265,1
Santa Eugènia de Berga,08246,1
